epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,4.442811489105225,1.8382797241210938,55.07666931152344,50.85583292643229,1.453125,1.4453125,1.4494974613189697,1.96875,0.0791015625, doors |  cats |  door |  Cats |  dogs,doors |  birds |  rats |  cats |  dogs,0.4784172773361206,0.0791366919875145,0.8776978254318237
2,,0.6186076402664185,1.0551791191101074,53.021875,46.19479166666667,1.453125,1.453125,1.4494974613189697,1.953125,0.09326171875, doors |  cats |  door |  dogs |  Cats, birds | doors |  rats |  cats |  dogs,0.6294963955879211,0.40287768840789795,0.8561151027679443
3,,0.27738621830940247,0.6152658462524414,44.50416666666667,38.19479166666667,1.453125,1.4453125,1.4494974613189697,1.9453125,0.09716796875, doors |  cats |  door |  dogs |  Cats, birds |  cats |  rats |  dogs | doors,0.6834532618522644,0.4892086386680603,0.8776978254318237
4,,0.39307263493537903,0.16347526013851166,35.09791666666667,32.623958333333334,1.4453125,1.4453125,1.4494974613189697,1.9453125,0.0966796875, doors |  cats |  door |  dogs |  Cats, birds |  cats |  dogs |  rats | doors,0.7050359845161438,0.4892086386680603,0.9208633303642273
5,,0.2747039794921875,0.18006110191345215,29.314583333333335,30.064583333333335,1.453125,1.4453125,1.4494974613189697,1.953125,0.0947265625, doors |  door |  cats | _door |  dogs, birds |  cats |  dogs |  rats |  rabbits,0.7553957104682922,0.568345308303833,0.9424460530281067
6,,0.10467356443405151,0.21767084300518036,24.611458333333335,23.502083333333335,1.4453125,1.453125,1.4494974613189697,1.953125,0.08984375, doors |  door |  cats | _door |  Cats, birds |  cats |  dogs |  rats |  rabbits,0.8129496574401855,0.6834532618522644,0.9424460530281067
7,,0.1138581782579422,0.18069767951965332,21.176041666666666,20.797916666666666,1.453125,1.453125,1.4494974613189697,1.9609375,0.08642578125, doors |  door |  cats | _door |  dogs, birds |  cats |  dogs |  rats |  rabbits,0.8165467381477356,0.6834532618522644,0.9496402740478516
8,,0.09685777872800827,0.08970411121845245,19.966666666666665,19.472135416666667,1.453125,1.453125,1.4494974613189697,1.96875,0.08056640625, doors |  door | _door |  cats |  Door, birds |  cats |  dogs |  rats |  rabbits,0.8309352397918701,0.7122302055358887,0.9496402740478516
9,,0.20367243885993958,0.0369766540825367,13.377473958333333,13.022786458333334,1.453125,1.453125,1.4494974613189697,1.96875,0.07568359375, doors |  door | _door |  cats |  Door, birds |  cats |  dogs |  rats |  rabbits,0.8057553768157959,0.6618704795837402,0.9496402740478516
10,,0.11042223870754242,0.037101585417985916,15.692578125,15.510677083333333,1.453125,1.453125,1.4494974613189697,1.9765625,0.06982421875, doors |  door | _door |  cats |  Door, birds |  cats |  dogs |  rats |  rabbits,0.8381295204162598,0.7266187071800232,0.9496402740478516
11,,0.0925980731844902,0.043274663388729095,9.826106770833333,9.659895833333334,1.453125,1.453125,1.4494974613189697,1.984375,0.064453125, doors |  door | _door |  cats |  Door, birds |  cats |  dogs |  rats |  rabbits,0.8489208817481995,0.7482014298439026,0.9496402740478516
12,,0.017425041645765305,0.1839267611503601,11.27138671875,10.944466145833333,1.453125,1.453125,1.4494974613189697,1.9921875,0.058349609375, doors |  door | _door |  Door | 䢼, birds |  cats |  dogs |  rabbits |  rats,0.8489208817481995,0.7769784331321716,0.9208633303642273
13,,0.07934412360191345,0.03333915024995804,10.4068359375,10.233072916666666,1.4453125,1.4453125,1.4494974613189697,1.9921875,0.0546875, doors |  door | _door |  Door | 䢼, birds |  cats |  dogs |  rabbits |  rats,0.8381295204162598,0.7410072088241577,0.935251772403717
14,,0.08577196300029755,0.029539283365011215,7.4020263671875,7.298307291666666,1.453125,1.4453125,1.4494974613189697,2.0,0.04833984375, doors |  door | _door |  Door | 䢼, birds |  cats |  dogs |  rabbits |  rats,0.8417266011238098,0.7410072088241577,0.9424460530281067
15,,0.06253315508365631,0.02390194684267044,7.461409505208334,7.38251953125,1.4453125,1.453125,1.4494974613189697,2.0,0.044189453125, doors |  door | _door |  Door | 䢼, birds |  cats |  dogs |  rabbits |  rats,0.8489208817481995,0.7625899314880371,0.935251772403717
16,,0.029235661029815674,0.07845644652843475,5.30146484375,5.121061197916666,1.453125,1.453125,1.4494974613189697,2.015625,0.03857421875, doors |  door | _door |  Door | 䢼, birds |  cats |  dogs |  rabbits |  rats,0.866906464099884,0.798561155796051,0.935251772403717
