epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.5315190943268435,2.035285234451294,0.013468143530189991,82.77007395426432,71.74620480537415,1.4609375,1.5078125,1.4494974613189697,1.9609375,0.1328125, dogs |  trees |  [wugs] |  dog |  mice, pups |  trees |  chairs |  dogs |  rocks,0.7553957104682922,0.5539568066596985,0.9568345546722412
2,1.1117192119062262,1.3203779458999634,0.006149661261588335,30.386471005280814,30.436233266194662,1.46875,1.515625,1.4494974613189697,1.96875,0.130859375, dogs |  trees |  dog |  bookstore | _TREE, pups |  trees |  chairs |  dogs |  rocks,0.8345323801040649,0.7122302055358887,0.9568345546722412
3,0.773675021952234,0.004147923085838556,1.8350886106491089,18.8016739765803,19.27941884199778,1.484375,1.515625,1.4494974613189697,1.984375,0.1259765625, trees |  dogs |  dog |  bookstore |  house, pups |  dogs |  chairs |  rocks |  trees,0.8561151027679443,0.7625899314880371,0.9496402740478516
4,0.451263634520501,2.2784206521464512e-05,3.331460475921631,17.702805002530415,17.128410975138348,1.5,1.515625,1.4494974613189697,2.0,0.1162109375, dog |  bookstore |  trees |  dogs |  house, pups |  dogs |  chairs |  rocks |  trees,0.9136690497398376,0.971222996711731,0.8561151027679443
