epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.216021508599321,1.165643334388733,0.31817564368247986,79.46000544230144,70.6261641184489,1.4609375,1.46875,1.4494974613189697,1.9296875,0.1328125, chairs |  bird |  Chairs |  chair |  Chair, birds |  trees |  walls |  lamps |  bird,0.7482014298439026,0.5827338099479675,0.9136690497398376
2,0.6858190094470047,0.023881854489445686,0.8363182544708252,37.94910888671875,27.608317057291668,1.46875,1.4765625,1.4494974613189697,1.9375,0.1328125, bird |  chairs |  Chairs |  chair |  child, birds |  trees |  walls |  lamps |  bird,0.8453237414360046,0.7625899314880371,0.9280575513839722
3,0.4120412434102036,1.3391964435577393,0.0024792428594082594,18.588365427652995,18.032037353515626,1.46875,1.484375,1.4494974613189697,1.9453125,0.1298828125, bird |  chairs |  chair |  Chairs |  Chair, birds |  trees |  walls |  lamps |  chickens,0.7517985701560974,0.5611510872840881,0.9424460530281067
4,0.733872211768418,0.007606972474604845,0.7675632834434509,31.13693758646647,30.855423990885416,1.4765625,1.4765625,1.4494974613189697,1.953125,0.1298828125, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  chickens,0.8776978254318237,0.8201438784599304,0.935251772403717
