epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.216803789138794,0.646587610244751,56.469141146354374,53.66741129557292,1.4453125,1.4453125,1.4494974613189697,1.9609375,0.0830078125, dogs |  gates |  cats | Cars |  gate, dogs |  ponds |  fence |  walls |  birds,0.5252100825309753,0.924369752407074,0.1260504275560379
2,,0.005090014543384314,1.885838270187378,47.883121744791666,47.802083333333336,1.453125,1.453125,1.4494974613189697,1.9765625,0.06884765625, dogs |  gates | ㄱ |  gated |  cliffs, dogs |  birds |  ponds |  walls |  fence,0.5546218752861023,0.924369752407074,0.18487395346164703
3,,0.5503622889518738,0.08171956241130829,21.445393880208332,20.432975260416665,1.4453125,1.453125,1.4494974613189697,2.0,0.04248046875, dogs |  gates | ㄱ |  gated | _door, dogs |  birds |  fence |  trees |  worms,0.5924369692802429,0.756302535533905,0.4285714328289032
4,,1.194661021232605,0.001358555629849434,21.226045735677083,21.168778483072916,1.4453125,1.453125,1.4494974613189697,2.03125,0.0157470703125, gates |  gated | ㄱ | _door |  lines, dogs |  birds |  cats |  trees |  chickens,0.680672287940979,0.5714285969734192,0.7899159789085388
5,,0.006519153714179993,0.42098623514175415,18.576256306966147,18.313793897628784,1.453125,1.453125,1.4494974613189697,2.0625,-0.007232666015625, gated |  gates | ㄱ | _door |  cliffs, birds |  dogs |  cats |  worms |  chickens,0.7268907427787781,0.7731092572212219,0.680672287940979
