model,stream,seed,final_overall,final_sing,final_plur,src,dst
Qwen3-VL-2B-Instruct,image,27616,0.9495798349380492,0.924369752407074,0.9747899174690248,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_image_lr0p001_50seeds/seed_27616/_alternating_lr0p001_seed27616_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/vision_seeds/seed_27616.pt
Qwen3-VL-2B-Instruct,image,92980,0.9327731132507324,0.9159663915634156,0.9495798349380492,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_image_lr0p001_50seeds/seed_92980/_alternating_lr0p001_seed92980_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/vision_seeds/seed_92980.pt
Qwen3-VL-2B-Instruct,image,68200,0.911764681339264,0.8823529481887817,0.9411764740943908,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_image_lr0p001_50seeds/seed_68200/_alternating_lr0p001_seed68200_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/vision_seeds/seed_68200.pt
Qwen3-VL-2B-Instruct,image,47410,0.9033613204956056,0.9579831957817078,0.848739504814148,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_image_lr0p001_50seeds/seed_47410/_alternating_lr0p001_seed47410_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/vision_seeds/seed_47410.pt
Qwen3-VL-2B-Instruct,image,79404,0.9033613204956056,0.9159663915634156,0.8907563090324402,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_image_lr0p001_50seeds/seed_79404/_alternating_lr0p001_seed79404_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/vision_seeds/seed_79404.pt
Qwen3-VL-2B-Instruct,text,37722,0.970588207244873,0.9831932783126832,0.9579831957817078,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_text_lr0p001_50seeds/seed_37722/syntax_alternating_lr0p001_seed37722_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/syntax_seeds/seed_37722.pt
Qwen3-VL-2B-Instruct,text,31085,0.9663865566253662,0.9747899174690248,0.9579831957817078,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_text_lr0p001_50seeds/seed_31085/syntax_alternating_lr0p001_seed31085_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/syntax_seeds/seed_31085.pt
Qwen3-VL-2B-Instruct,text,48126,0.9663865566253662,0.9495798349380492,0.9831932783126832,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_text_lr0p001_50seeds/seed_48126/syntax_alternating_lr0p001_seed48126_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/syntax_seeds/seed_48126.pt
Qwen3-VL-2B-Instruct,text,96684,0.9621848464012146,0.9579831957817078,0.9663865566253662,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_text_lr0p001_50seeds/seed_96684/syntax_alternating_lr0p001_seed96684_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/syntax_seeds/seed_96684.pt
Qwen3-VL-2B-Instruct,text,54321,0.9579831957817078,0.9579831957817078,0.9579831957817078,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-2B-Instruct_text_lr0p001_50seeds/seed_54321/syntax_alternating_lr0p001_seed54321_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-2B/syntax_seeds/seed_54321.pt
Qwen3-VL-4B-Instruct,image,16672,0.924369752407074,0.9159663915634156,0.9327731132507324,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_image_lr0p001_50seeds/seed_16672/_alternating_lr0p001_seed16672_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/vision_seeds/seed_16672.pt
Qwen3-VL-4B-Instruct,image,33130,0.9159663915634156,0.9159663915634156,0.9159663915634156,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_image_lr0p001_50seeds/seed_33130/_alternating_lr0p001_seed33130_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/vision_seeds/seed_33130.pt
Qwen3-VL-4B-Instruct,image,40760,0.911764681339264,0.8991596698760986,0.924369752407074,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_image_lr0p001_50seeds/seed_40760/_alternating_lr0p001_seed40760_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/vision_seeds/seed_40760.pt
Qwen3-VL-4B-Instruct,image,43304,0.911764681339264,0.9159663915634156,0.9075630307197572,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_image_lr0p001_50seeds/seed_43304/_alternating_lr0p001_seed43304_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/vision_seeds/seed_43304.pt
Qwen3-VL-4B-Instruct,image,88660,0.9033613204956056,0.924369752407074,0.8823529481887817,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_image_lr0p001_50seeds/seed_88660/_alternating_lr0p001_seed88660_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/vision_seeds/seed_88660.pt
Qwen3-VL-4B-Instruct,text,19075,0.970588207244873,0.9663865566253662,0.9747899174690248,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_text_lr0p001_50seeds/seed_19075/syntax_alternating_lr0p001_seed19075_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/syntax_seeds/seed_19075.pt
Qwen3-VL-4B-Instruct,text,2440,0.9579831957817078,0.9495798349380492,0.9663865566253662,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_text_lr0p001_50seeds/seed_2440/syntax_alternating_lr0p001_seed2440_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/syntax_seeds/seed_2440.pt
Qwen3-VL-4B-Instruct,text,80320,0.9579831957817078,0.9579831957817078,0.9579831957817078,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_text_lr0p001_50seeds/seed_80320/syntax_alternating_lr0p001_seed80320_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/syntax_seeds/seed_80320.pt
Qwen3-VL-4B-Instruct,text,64892,0.9579831957817078,1.0,0.9159663915634156,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_text_lr0p001_50seeds/seed_64892/syntax_alternating_lr0p001_seed64892_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/syntax_seeds/seed_64892.pt
Qwen3-VL-4B-Instruct,text,75470,0.9579831957817078,0.9579831957817078,0.9579831957817078,/mnt/ws/home/zstuddiford/wug-test-interp/results/CI_seed_runs/lr_ci_results_Qwen3-VL-4B-Instruct_text_lr0p001_50seeds/seed_75470/syntax_alternating_lr0p001_seed75470_ep50/learned_embeddings.pt,/mnt/ws/home/zstuddiford/wug-test-interp/embeddings/Qwen3-VL-4B/syntax_seeds/seed_75470.pt
