epoch,wug_proj,wugs_proj,dist
1,0.03603404760360718,0.09769076108932495,0.06165671348571777
2,0.014580016024410725,0.1165478453040123,0.10196782648563385
3,-0.0013053715229034424,0.1309467852115631,0.13225215673446655
4,-0.007569596171379089,0.13574063777923584,0.14331023395061493
5,-0.023590728640556335,0.1462748944759369,0.16986562311649323
6,-0.0279338750988245,0.15185880661010742,0.17979268729686737
7,-0.03655431047081947,0.15744027495384216,0.19399458169937134
8,-0.041182924062013626,0.16051945090293884,0.20170237123966217
9,-0.05274428799748421,0.16746532917022705,0.22020961344242096
10,-0.05745449662208557,0.1716982126235962,0.22915270924568176
11,-0.06213068589568138,0.17648273706436157,0.23861342668533325
12,-0.06859731674194336,0.17949602007865906,0.24809333682060242
