epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.3192017413675785,0.5220955014228821,1.240665078163147,89.76653645833333,64.71050378481547,1.4609375,1.4765625,1.4494974613189697,1.9609375,0.10888671875, door |  doors | _door | Door |  bird, birds |  cats |  dogs |  bird |  Dogs,0.8165467381477356,0.935251772403717,0.6978417038917542
2,0.8857058695376812,0.004027193877846003,1.1729791164398193,43.738606770833336,35.36593424479167,1.4765625,1.484375,1.4494974613189697,1.9765625,0.10791015625, door |  bird |  Pikachu | _door |  doors, birds |  cats |  dogs |  animals |  bird,0.8489208817481995,0.9640287756919861,0.7338129281997681
3,0.6917194044832286,0.0038698988500982523,1.1677874326705933,26.28943786621094,26.793372853597006,1.4765625,1.4921875,1.4494974613189697,1.9921875,0.10302734375, door |  bird |  Pikachu | _door |  doors, birds |  cats |  dogs |  animals |  Dogs,0.8489208817481995,0.9568345546722412,0.7410072088241577
4,0.21464332392339808,1.4091033935546875,0.0013518821215257049,8.14812520345052,7.851993687947592,1.4765625,1.5078125,1.4494974613189697,2.0,0.09619140625, door |  bird | _door | Door |  Pikachu, birds |  cats |  dogs |  animals |  bird,0.9100719690322876,0.935251772403717,0.8848921060562134
