epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.130641460418701,0.07475234568119049,56.2115234375,50.41647084554037,1.453125,1.453125,1.4494974613189697,1.9453125,0.09814453125, rabbits |  birds |  cars |  lamps | تأكد, gates |  cats | cats |  boats |  gate,0.26978418231010437,0.2158273309469223,0.32374101877212524
2,,0.25240013003349304,0.20573556423187256,46.21067708333333,41.74752604166667,1.453125,1.453125,1.4494974613189697,1.96875,0.08349609375, rabbits |  Sheep |  animals |  badass | تأكد, cats |  gates | cats |  boats |  rats,0.5035971403121948,0.6043165326118469,0.40287768840789795
3,,0.06550387293100357,0.10006393492221832,25.167838541666665,25.028645833333332,1.453125,1.453125,1.4494974613189697,1.9921875,0.060546875, rabbits |  badass |  Sheep |  зуб |  sheep, cats | cats |  gates |  boats | boats,0.6402877569198608,0.5827338099479675,0.6978417038917542
4,,0.756881058216095,0.0064195143058896065,13.096451822916666,13.228564453125,1.4453125,1.453125,1.4494974613189697,2.015625,0.0303955078125, badass |  Sheep |  rabbits |  зуб | 動物, cats | cats |  gates |  boats | boats,0.6942446231842041,0.49640288949012756,0.8920863270759583
5,,0.01147463172674179,0.11300311237573624,17.60791778564453,17.645905498663584,1.453125,1.4453125,1.4494974613189697,2.046875,0.007659912109375, badass |  Sheep |  зуб | 動物 |  sheep, cats | cats |  gates |  boats | boats,0.7086330652236938,0.5899280309677124,0.8273381590843201
