epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,4.357606887817383,9.83690357208252,62.13812154134114,53.868705010414125,1.4453125,1.4453125,1.4494974613189697,1.953125,0.08837890625, doors |  dogs |  door |  Door |  birds, chickens |  birds |  cats |  dogs |  gates,0.5420168042182922,1.0,0.08403361588716507
2,,3.7009079456329346,8.268656730651855,64.73162027994792,53.73888324101766,1.453125,1.4453125,1.4494974613189697,1.953125,0.08935546875, doors |  dogs |  door |  birds |  Door, chickens |  birds |  cats |  dogs |  gates,0.5966386795043945,1.0,0.19327731430530548
3,,3.079569101333618,6.742438316345215,65.1314453125,53.65661129951477,1.453125,1.4453125,1.4494974613189697,1.953125,0.0908203125, dogs |  doors |  door |  birds |  Door, chickens |  birds |  dogs |  cats |  gates,0.6386554837226868,1.0,0.27731093764305115
4,,2.3764123916625977,5.858887195587158,63.21865234375,53.70634994506836,1.453125,1.4453125,1.4494974613189697,1.953125,0.091796875, dogs |  doors |  door |  birds |  Door, chickens |  dogs |  cats |  birds |  puppies,0.6848739385604858,1.0,0.36974790692329407
5,,2.115929365158081,4.4050798416137695,64.133984375,53.56923116048177,1.453125,1.4453125,1.4494974613189697,1.953125,0.09326171875, dogs |  doors |  door |  Door |  birds, chickens |  dogs |  cats |  birds |  puppies,0.7226890921592712,0.9663865566253662,0.4789915978908539
6,,1.6457431316375732,3.3346781730651855,58.711328125,53.003570556640625,1.453125,1.453125,1.4494974613189697,1.953125,0.09375, dogs |  doors |  door |  Door |  birds, chickens |  dogs |  cats |  birds |  puppies,0.7268907427787781,0.924369752407074,0.529411792755127
7,,1.4612864255905151,2.6075921058654785,57.175716145833334,51.50369466145833,1.453125,1.453125,1.4494974613189697,1.953125,0.09423828125, dogs |  doors |  door |  Door |  Doors, chickens |  dogs |  cats |  birds |  puppies,0.7647058963775635,0.8907563090324402,0.6386554837226868
8,,1.2648619413375854,1.624355673789978,51.006770833333334,48.85021158854167,1.453125,1.453125,1.4494974613189697,1.953125,0.09521484375, dogs |  doors |  door |  Door |  Dogs, chickens |  dogs |  cats |  birds |  puppies,0.7899159789085388,0.8655462265014648,0.7142857313156128
9,,1.1812679767608643,1.109677791595459,44.840625,43.989192708333334,1.453125,1.4453125,1.4494974613189697,1.953125,0.09619140625, dogs |  doors |  door |  Door |  Dogs, chickens |  dogs |  cats |  birds |  puppies,0.8025209903717041,0.848739504814148,0.756302535533905
10,,0.8888794183731079,0.8178287744522095,42.844791666666666,41.34713541666667,1.453125,1.4453125,1.4494974613189697,1.9453125,0.0966796875, dogs |  doors |  door |  Door |  Dogs, chickens |  dogs |  cats |  birds |  puppies,0.8109243512153625,0.848739504814148,0.7731092572212219
11,,1.0003139972686768,0.7869837880134583,40.246875,38.2375,1.4453125,1.4453125,1.4494974613189697,1.9453125,0.09765625, dogs |  doors |  door |  Door |  dog, chickens |  dogs |  cats |  puppies |  birds,0.8109243512153625,0.8403361439704895,0.7815126180648804
12,,0.7077616453170776,0.7299318909645081,37.70520833333333,36.344791666666666,1.4453125,1.453125,1.4494974613189697,1.9453125,0.09765625, dogs |  doors |  door |  dog |  Door, chickens |  dogs |  cats |  puppies |  birds,0.8109243512153625,0.8403361439704895,0.7815126180648804
13,,0.6253319382667542,0.4924076199531555,36.333333333333336,33.403125,1.453125,1.4453125,1.4494974613189697,1.9453125,0.0986328125, dogs |  doors |  dog |  door |  Door, chickens |  dogs |  cats |  puppies |  birds,0.8109243512153625,0.8403361439704895,0.7815126180648804
14,,0.42553287744522095,0.6310930252075195,32.8875,31.79375,1.453125,1.453125,1.4494974613189697,1.9453125,0.0986328125, dogs |  doors |  dog |  door |  Door, chickens |  dogs |  cats |  puppies |  birds,0.8151260614395142,0.8403361439704895,0.7899159789085388
15,,0.42464393377304077,0.5685602426528931,31.827083333333334,31.091666666666665,1.453125,1.453125,1.4494974613189697,1.9453125,0.0986328125, dogs |  doors |  dog |  Door |  Dogs, chickens |  dogs |  cats |  puppies |  birds,0.8067227005958557,0.831932783126831,0.7815126180648804
16,,0.42641401290893555,0.5402114987373352,29.410416666666666,28.78125,1.453125,1.453125,1.4494974613189697,1.9453125,0.0986328125, dogs |  doors |  dog |  Door |  Dogs, chickens |  dogs |  cats |  puppies |  birds,0.8067227005958557,0.8403361439704895,0.7731092572212219
17,,0.4291621148586273,0.3406996726989746,30.022916666666667,28.114583333333332,1.453125,1.4453125,1.4494974613189697,1.9453125,0.09814453125, dogs |  doors |  dog |  Door |  door, chickens |  dogs |  cats |  puppies |  birds,0.8025209903717041,0.8151260614395142,0.7899159789085388
18,,0.37659886479377747,0.36709174513816833,28.797916666666666,26.197916666666668,1.453125,1.453125,1.4494974613189697,1.9453125,0.09765625, dogs |  doors |  dog |  Door | _word, chickens |  dogs |  cats |  puppies |  birds,0.819327712059021,0.8403361439704895,0.7983193397521973
