epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,2.9672245271891975,1.1885943412780762,0.006248854100704193,66.62669270833334,54.72837727864583,1.46875,1.4765625,1.4494974613189697,1.9921875,0.0849609375, woman |  women |  chickens |  houses |  rabbit, cows |  walls |  chairs |  doors |  lawyers,0.7647058963775635,0.5378151535987854,0.9915966391563416
2,1.247579447474709,0.00267779384739697,1.6511986255645752,31.39549560546875,30.028121296564738,1.484375,1.4765625,1.4494974613189697,2.0,0.0830078125, woman |  chickens |  rabbit |  houses |  women, cows |  walls |  chairs |  doors |  lawyers,0.8865545988082886,0.7815126180648804,0.9915966391563416
3,0.9569802686294603,4.710081702796742e-05,2.6047472953796387,24.58563256263733,23.77434823115667,1.5,1.4765625,1.4494974613189697,2.03125,0.07373046875, woman |  rabbit |  chickens |  houses |  dog, walls |  cows |  chairs |  cars |  doors,0.9201680421829224,0.924369752407074,0.9159663915634155
4,0.9280075466961288,2.21402645111084,4.084511965629645e-05,21.726653470424935,21.661389923095705,1.4921875,1.5,1.4494974613189697,2.046875,0.06591796875, woman |  rabbit |  women |  houses |  dog, cows |  walls |  chairs |  lawyers |  animals,0.819327712059021,0.6386554837226868,1.0
5,1.151082362399196,1.4076402187347412,0.00022691032791044563,23.183973962068556,23.007956171035765,1.4921875,1.5,1.4494974613189697,2.046875,0.06298828125, woman |  rabbit |  houses |  women |  dog, walls |  cows |  chairs |  lawyers |  animals,0.8781512379646301,0.756302535533905,1.0
6,1.3354658799175467,0.0003101247129961848,1.4513224363327026,26.11717036863168,26.11196517944336,1.5078125,1.4921875,1.4494974613189697,2.046875,0.0625, woman |  rabbit |  dog |  houses |  chickens, cows |  walls |  chairs |  doors |  lawyers,0.924369752407074,0.8739495873451233,0.9747899174690247
