epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.02250359021127224,0.058252692222595215,66.51412760416666,63.364908854166664,1.078125,1.0859375,1.0794202089309692,1.4609375,0.08740234375, |  | 앖 | 小孩 | 꿏, cats |  trees | trees |  | ,0.529411792755127,0.42016807198524475,0.6386554837226868
2,,0.014938128180801868,0.059134386479854584,12.819921933114529,12.633121744791667,1.078125,1.078125,1.0794202089309692,1.4765625,0.06591796875, |  | 앖 | 小孩 | 꿏, cats |  trees | trees |  women | ,0.5378151535987854,0.42016807198524475,0.6554622054100037
3,,1.260703206062317,5.590870387095492e-06,13.594179932276408,15.644638061523438,1.078125,1.078125,1.0794202089309692,1.5078125,0.02197265625, |  | 小孩 | 앖 | 꿏, cats |  trees | trees |  birds | ,0.5084033608436584,0.1428571492433548,0.8739495873451233
4,,0.0031588480342179537,0.0022856604773551226,15.342799361546835,15.172758070627848,1.078125,1.078125,1.0794202089309692,1.53125,-0.010986328125, |  | 小孩 | 앖 | 꿏, cats |  trees | trees |  birds |  women,0.5462185144424438,0.3949579894542694,0.6974790096282959
5,,0.008127453736960888,0.0009513789555057883,0.6485276619593302,0.5940910339355469,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0166015625, |  | 小孩 | 앖 | 꿏, cats |  trees | trees |  birds | .two,0.5546218752861023,0.38655462861061096,0.7226890921592712
6,,0.00043206854024901986,0.016527637839317322,15.088883527119954,15.002291870117187,1.078125,1.078125,1.0794202089309692,1.59375,-0.08984375, |  | 小孩 | 앖 | 몯, cats |  trees |  birds | -two | trees,0.680672287940979,0.5630252361297607,0.7983193397521973
7,,1.581209421157837,1.2040119372613844e-06,1.9184708324280413,1.917644813656807,1.078125,1.078125,1.0794202089309692,1.6015625,-0.10302734375,小孩 |  |  | � |  طفل, cats |  trees | .two |  birds | trees,0.5168067216873169,0.11764705926179886,0.9159663915634155
8,,0.0019792926032096148,0.0012843151343986392,3.263268064024548,3.2126725991566976,1.078125,1.078125,1.0794202089309692,1.625,-0.1328125, |  | 小孩 | � | השק, cats | .two |  birds | -two | 两家,0.6974790096282959,0.43697479367256165,0.9579831957817078
9,,0.0776311606168747,3.4696880902629346e-05,0.7127226193745931,0.6292501042561829,1.078125,1.0859375,1.0794202089309692,1.640625,-0.1572265625, |  | 小孩 | � |  طفل, cats | .two |  birds | -two | 两家,0.668067216873169,0.4117647111415863,0.924369752407074
10,,0.03437075391411781,4.194572102278471e-05,15.664140444497267,15.520347739941645,1.0859375,1.078125,1.0794202089309692,1.6875,-0.216796875, |  | � | 小孩 | השק, cats | .two |  birds | -two | 两家,0.7226890921592712,0.4957983195781708,0.9495798349380493
11,,0.00048281927593052387,0.00014853825268801302,0.948125200284024,0.8776330053806305,1.078125,1.078125,1.0794202089309692,1.6875,-0.22265625, |  | � | 小孩 | השק, cats | .two |  birds | -two | 两家,0.7815126180648804,0.605042040348053,0.9579831957817078
12,,0.0003533215494826436,0.0001650123595027253,0.025722199740509193,0.017323938633004823,1.078125,1.078125,1.0794202089309692,1.6875,-0.22265625, |  | � | 小孩 | השק, cats | .two |  birds | -two | 两家,0.7689075469970703,0.5798319578170776,0.9579831957817078
13,,1.655775668041315e-05,0.10834217071533203,6.933216572801272,6.918300252904495,1.0859375,1.078125,1.0794202089309692,1.71875,-0.267578125, |  | � | 小孩 | השק, cats | .two | 两位 |  birds | -two,0.819327712059021,0.7058823704719543,0.9327731132507324
