epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.035359764867462,1.5505081415176392,0.016376923769712448,82.53315836588541,84.47995575051755,1.109375,1.1328125,1.0794202089309692,1.4609375,0.154296875, |  | 鸟成长记 | 魔龙令牌 |  davidjl, dogs |  houses |  birds |  flowers |  fishermen,0.9244604110717773,0.9640287756919861,0.8848921060562134
2,1.2062598487105334,2.6616952419281006,0.0005595069378614426,45.38174549738566,36.009422556559244,1.1171875,1.1484375,1.0794202089309692,1.46875,0.1533203125, |  | 鸟成长记 | 魔龙令牌 |  davidjl, dogs |  houses |  birds |  flowers |  fishermen,0.8633093237876892,0.8057553768157959,0.9208633303642273
3,0.5834965878216128,2.5532338619232178,0.0008442097459919751,20.638179731369018,18.012527084350587,1.125,1.1484375,1.0794202089309692,1.4921875,0.1455078125, |  | 鸟成长记 | 魔龙令牌 | 빪, dogs |  houses |  birds |  flowers |  fishermen,0.8776978254318237,0.8273381590843201,0.9280575513839722
4,1.4045041621491046,7.777498103678226e-05,2.78604793548584,34.91911691427231,34.8338195959727,1.1484375,1.140625,1.0794202089309692,1.5,0.1376953125, |  | 鸟成长记 | 魔龙令牌 | 빪, dogs |  houses |  birds |  flowers |  fishermen,0.9280575513839722,0.9784172773361206,0.8776978254318237
