epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.122960924716123,2.1606521606445312,0.0030438746325671673,75.81832682291666,63.436644840240476,1.4609375,1.484375,1.4494974613189697,1.953125,0.1171875, book |  books | _books |  phones |  textbooks, birds |  puppies |  dogs |  mice |  rats,0.9369747638702393,0.9411764740943909,0.9327731132507324
2,1.2964017053713177,0.004583544563502073,1.4557276964187622,38.869268798828124,32.62671712239583,1.484375,1.484375,1.4494974613189697,1.96875,0.1142578125, book |  books | _books |  bird |  textbooks, birds |  puppies |  dogs |  mice |  rats,0.9453781247138977,0.9663865566253662,0.924369752407074
3,0.48734771945757605,0.000574162055272609,1.756907343864441,19.0532972017924,18.275933641195298,1.4921875,1.4921875,1.4494974613189697,1.9921875,0.10400390625, book |  books | _books |  bird |  phone, birds |  puppies |  rats |  dogs |  mice,0.9453781247138977,0.9663865566253662,0.924369752407074
4,0.7019169339035519,0.0004522058879956603,1.5047460794448853,11.820173305273055,11.740453283240397,1.4921875,1.4921875,1.4494974613189697,2.0,0.09912109375, book |  books | _books |  bird |  phone, birds |  puppies |  rats |  dogs |  mice,0.9537814855575562,0.9747899174690247,0.9327731132507324
