epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.52532379576099,3.998987913131714,0.0004039044724777341,78.33316374818484,61.48067448139191,1.1171875,1.125,1.0794202089309692,1.4609375,0.154296875, [wugs] |  dogs |  dog | ᠮ |  lamps, cats |  doors |  walls |  birds |  girls,0.575630247592926,0.15126051008701324,1.0
2,1.4892432217434513,0.00795623380690813,0.8637976050376892,21.30022447903951,21.08257753054301,1.125,1.1171875,1.0794202089309692,1.4609375,0.1513671875, dog |  [wugs] |  dogs | 	cat | ᠮ, cats |  doors |  walls |  birds |  fences,0.7815126180648804,0.5714285969734192,0.9915966391563416
3,1.801049584876254,4.028298854827881,0.00032795322476886213,35.83823008437951,35.646877651413284,1.125,1.1328125,1.0794202089309692,1.4765625,0.1396484375, dog | ᠮ |  |  |  dogs, cats |  doors |  walls |  birds |  girls,0.7268907427787781,0.45378151535987854,1.0
4,1.777774901488209,0.4258519411087036,0.036594998091459274,37.318242044125995,37.003370730082196,1.140625,1.140625,1.0794202089309692,1.515625,0.1162109375, dog | ᠮ | 	cat |  kitten | , cats |  doors |  birds |  walls |  girls,0.9159663915634155,0.8739495873451233,0.9579831957817078
