epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.04029429331421852,1.794764757156372,56.46167106628418,56.19686646461487,1.0859375,1.078125,1.0794202089309692,1.4296875,0.1279296875, |  | ༕ | ꦟ | ﯠ, |  | ࠳ | ⮳ | ᨨ,0.529411792755127,0.5966386795043945,0.462184876203537
2,,0.09562885761260986,0.08543099462985992,36.18277255694071,38.344417317708334,1.078125,1.078125,1.0794202089309692,1.4375,0.1142578125, |  | ༕ | ﯠ | ꦟ, |  | ࠳ | ᨨ | ⮳,0.529411792755127,0.27731093764305115,0.7815126180648804
3,,0.22765293717384338,0.0014350579585880041,20.427197265625,22.403609466552734,1.078125,1.078125,1.0794202089309692,1.453125,0.09228515625, |  | ༕ | ﯠ | 𨭉, |  | ࠳ |  cats | ⮳,0.5336134433746338,0.13445378839969635,0.9327731132507324
4,,0.003977078013122082,0.023801937699317932,21.59338288207849,21.457425944010417,1.078125,1.078125,1.0794202089309692,1.4765625,0.0654296875, |  | ༕ | ﯠ |  Dragon, |  | ࠳ |  cats | ⮳,0.5882353186607361,0.2689075767993927,0.9075630307197571
5,,0.0012305674608796835,0.3234094977378845,5.505958286921183,5.6750258525212605,1.078125,1.078125,1.0794202089309692,1.4921875,0.044189453125, |  | ༕ | ﯠ | 𨭉, |  |  cats | ࠳ |  houses,0.6974790096282959,0.5042017102241516,0.8907563090324402
6,,0.300281822681427,0.00013477631728164852,15.364406967163086,15.207811863472065,1.078125,1.0859375,1.0794202089309692,1.53125,-0.000843048095703125, |  |  Dragon |  dragon | 🐉, cats |  |  | ࠳ |  phones,0.5798319578170776,0.19327731430530548,0.9663865566253662
7,,0.0008659980958327651,0.00325685809366405,6.108652933438619,6.134690616528193,1.078125,1.078125,1.0794202089309692,1.5390625,-0.019287109375, |  |  Dragon |  dragon | 🐉, cats |  |  |  phones | ࠳,0.7394958138465881,0.529411792755127,0.9495798349380493
8,,0.01960807293653488,0.0001326846395386383,0.24481323038538297,0.2724571863810221,1.078125,1.078125,1.0794202089309692,1.5390625,-0.021484375, |  |  Dragon |  dragon | 🐉, cats |  |  | ࠳ |  phones,0.6428571343421936,0.3193277418613434,0.9663865566253662
9,,0.04742367938160896,0.00020997451792936772,6.673375536998113,6.577766672770182,1.078125,1.0859375,1.0794202089309692,1.5625,-0.0439453125, |  |  Dragon |  dragon | 🐉, cats |  |  |  phones | 💏,0.680672287940979,0.3949579894542694,0.9663865566253662
10,,0.0002565105096437037,0.0014405910624191165,0.8499342644819989,0.835935115814209,1.078125,1.078125,1.0794202089309692,1.5703125,-0.05615234375, |  |  Dragon |  dragon | 🐉, cats |  |  |  phones | 💏,0.7478991746902466,0.5546218752861023,0.9411764740943909
11,,0.16508576273918152,1.655789128562901e-05,4.486437127987544,4.57452023314933,1.078125,1.0859375,1.0794202089309692,1.59375,-0.08447265625, |  |  Dragon |  dragon | 🐉, cats |  |  | 💏 |  phones,0.6554622054100037,0.3445378243923187,0.9663865566253662
12,,0.1524154096841812,2.3435919501935132e-05,4.920030666942087,4.862385140856107,1.078125,1.078125,1.0794202089309692,1.6015625,-0.1064453125, |  |  Dragon |  dragon | 🐉, cats |  |  | 💏 |  phones,0.6638655662536621,0.36974790692329407,0.9579831957817078
13,,0.00020933295309077948,0.008267302997410297,4.04782347107927,3.9040975908438367,1.078125,1.078125,1.0794202089309692,1.6171875,-0.1298828125, |  |  dragon |  Dragon | 🐉, cats | 💏 |  |  |  phones,0.7689075469970703,0.605042040348053,0.9327731132507324
14,,0.0009645948885008693,0.000683130114339292,0.5803105305569868,0.5842991138497988,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1396484375, dragon |  Dragon |  |  | 🐉, cats | 💏 |  |  |  phones,0.7142857313156128,0.4789915978908539,0.9495798349380493
15,,0.048932500183582306,0.0002515807282179594,5.8059109543139735,5.786391686927527,1.078125,1.078125,1.0794202089309692,1.640625,-0.15625, dragon |  Dragon |  |  | 🐉, cats | 💏 |  |  |  phones,0.7268907427787781,0.5042017102241516,0.9495798349380493
16,,4.470311523618875e-06,0.3896546959877014,3.0821151350227107,3.0583235104878743,1.078125,1.078125,1.0794202089309692,1.65625,-0.173828125, dragon |  |  Dragon |  | 🐉, cats | 💏 |  phones |  iPhones | ,0.8025209903717041,0.7394958138465881,0.8655462265014648
