epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.237158582732081,0.7224063873291016,0.3216797411441803,85.74342447916666,78.38318751653036,1.46875,1.484375,1.4494974613189697,1.9296875,0.150390625, [wugs] |  wolves |  fences |  dogs |  birds, cats |  [wug] |  carrots |  fences |  cars,0.6726618409156799,0.9280575513839722,0.41726619005203247
2,1.1023886751612129,0.07870069891214371,0.37823250889778137,52.89146321614583,47.01486562093099,1.4765625,1.4921875,1.4494974613189697,1.9375,0.1494140625, [wugs] |  fences |  wolves |  squirrel |  dogs, cats |  [wug] |  carrots |  fences |  trees,0.7913669347763062,0.9208633303642273,0.6618704795837402
3,0.7739332983110216,0.019552327692508698,0.7128828763961792,34.165055465698245,33.729685084025064,1.484375,1.5,1.4494974613189697,1.953125,0.142578125, fences |  [wugs] |  wolves |  squirrel |  dogs, cats |  [wug] |  carrots |  fences |  trees,0.8633093237876892,0.9136690497398376,0.8129496574401855
4,0.41024622122907506,0.0025031971745193005,1.2615770101547241,13.952038065592449,13.018707275390625,1.4921875,1.5,1.4494974613189697,1.9609375,0.1396484375, fences |  wolves |  squirrel |  [wugs] |  dogs, cats |  carrots |  fences |  [wug] |  trees,0.8489208817481995,0.9064748287200928,0.7913669347763062
5,0.45798901797437186,0.004836089443415403,1.0036368370056152,11.376486206054688,11.226461092631022,1.4921875,1.5078125,1.4494974613189697,1.96875,0.1376953125, fences |  squirrel |  wolves |  [wugs] |  dog, cats |  carrots |  fences |  trees |  [wug],0.8741007447242737,0.9064748287200928,0.8417266011238098
