epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,8.027948033327993,2.655031681060791,0.16128922998905182,77.56061323756973,64.93441329366178,1.4921875,1.515625,1.4494974613189697,1.984375,0.12890625, rabbits |  animals |  bird |  cats |  birds, cats |  doors |  dogs |  gates |  birds,0.7410072088241577,0.5179855823516846,0.9640287756919861
2,0.4997991370359235,0.004421047400683165,1.8538479804992676,25.00361557006836,15.137278302510579,1.53125,1.5234375,1.4494974613189697,2.0,0.1357421875, rabbits |  bird |  cats |  animals |  whale, cats |  doors |  dogs |  shoes |  birds,0.8956834673881531,0.8345323801040649,0.9568345546722412
3,1.2783541735758377,2.1639087200164795,0.00038326630601659417,27.282018144925434,26.803573735555013,1.515625,1.546875,1.4494974613189697,2.015625,0.1337890625, rabbits |  bird |  cats |  animals |  whale, cats |  doors |  dogs |  birds |  shoes,0.7194244861602783,0.48201438784599304,0.9568345546722412
4,1.1860658333484149,1.0709724426269531,0.0015471723163500428,21.736477957169214,21.99201312760512,1.5234375,1.5390625,1.4494974613189697,2.015625,0.1328125, rabbits |  bird |  cats |  whale |  animals, cats |  doors |  dogs |  birds |  shoes,0.8021582961082458,0.6402877569198608,0.9640287756919861
5,1.3496751329241303,0.0002427836589049548,2.2559854984283447,27.669246419270834,27.336945490911603,1.5390625,1.5234375,1.4494974613189697,2.015625,0.1328125, rabbits |  bird |  cats |  whale |  animals, cats |  doors |  dogs |  babies |  shoes,0.9532374143600464,0.9640287756919861,0.9424460530281067
