epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.461765054861704,3.24359393119812,7.687905788421631,80.43963012695312,77.9620096170033,1.4609375,1.4609375,1.4494974613189697,1.9296875,0.1279296875, chair |  chairs | -chair |  Chair |  puppy, dogs |  ducks |  cats | 貓 |  birds,0.5107913613319397,0.9568345546722412,0.06474819779396057
2,4.0454920330395305,0.9243557453155518,2.8700945377349854,83.2437255859375,85.4567216237386,1.46875,1.46875,1.4494974613189697,1.9296875,0.13671875, chair | -chair |  chairs |  puppy |  Chair, dogs |  ducks |  cats |  birds |  [wug],0.5251798629760742,0.9064748287200928,0.14388489723205566
3,1.3267536683628955,0.9106679558753967,0.6388434767723083,43.74856770833333,52.99107767740885,1.4765625,1.484375,1.4494974613189697,1.9375,0.138671875, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  [wug],0.6510791182518005,0.6690647602081299,0.633093535900116
4,0.7014226677129045,0.5669192671775818,0.1633346676826477,30.87942911783854,40.695849609375,1.484375,1.484375,1.4494974613189697,1.9453125,0.1396484375, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  [wug],0.6726618409156799,0.5107913613319397,0.8345323801040649
5,0.4710464158677496,0.5015252828598022,0.05101878568530083,24.6370969136556,30.196956380208334,1.484375,1.4921875,1.4494974613189697,1.953125,0.140625, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  [wug],0.6762589812278748,0.46043166518211365,0.8920863270759583
6,0.3085241223821261,0.017829371616244316,0.6092963814735413,19.002363204956055,19.96962890625,1.4921875,1.484375,1.4494974613189697,1.953125,0.1396484375, chair |  puppy | -chair |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  [wug],0.7805755138397217,0.7050359845161438,0.8561151027679443
7,0.14827318654448998,0.6709290742874146,0.014226812869310379,9.245576985677083,10.074186197916667,1.4921875,1.4921875,1.4494974613189697,1.953125,0.138671875, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  children,0.701438844203949,0.5035971403121948,0.8992805480957031
8,0.38906408512072327,0.011528470553457737,0.6285878419876099,17.476916869481403,17.75966796875,1.5,1.484375,1.4494974613189697,1.9609375,0.138671875, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  children,0.8633093237876892,0.8561151027679443,0.8705036044120789
9,0.42002121413061105,0.620396614074707,0.012649567797780037,24.460935640335084,24.984965006510418,1.4921875,1.4921875,1.4494974613189697,1.9609375,0.1376953125, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  children,0.7517985701560974,0.6043165326118469,0.8992805480957031
10,0.29204965768137,0.027279090136289597,0.4341963231563568,15.934534120559693,15.93162129720052,1.5,1.4921875,1.4494974613189697,1.9609375,0.13671875, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  children,0.8525179624557495,0.798561155796051,0.9064748287200928
11,0.42652595821079253,0.021585378795862198,0.47848764061927795,22.171212752660114,22.347815958658853,1.5,1.4921875,1.4494974613189697,1.9609375,0.1357421875, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.8884891867637634,0.8705036044120789,0.9064748287200928
