epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.548961905793598,1.1408610343933105,0.15484519302845,83.99579162597657,88.45137084325155,1.1015625,1.109375,1.0794202089309692,1.4453125,0.140625, houses |  doors |  trees |  walls |  dogs, |  cats |  | 貓 |  birds,0.9075630307197571,0.9579831957817078,0.8571428656578064
2,0.8355792774294969,1.8082069158554077,0.0018087920034304261,45.104671223958334,36.96543782552083,1.109375,1.1171875,1.0794202089309692,1.453125,0.1474609375, houses |  doors |  [wugs] |  walls |  Houses, cats |  |  birds |  | 貓,0.8991596698760986,0.8235294222831726,0.9747899174690247
3,0.9026564243940811,0.9030143618583679,0.004050497896969318,35.89043273925781,35.59500681559245,1.1171875,1.1171875,1.0794202089309692,1.4609375,0.14453125, houses |  [wugs] |  doors |  walls |  Houses, cats |  birds |  |  |  dogs,0.9411764740943909,0.924369752407074,0.9579831957817078
