epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.481605219109898,2.8502142429351807,0.0008657697471790016,70.17816876224242,63.70763665537039,1.2265625,1.1953125,1.0794202089309692,1.65625,0.06689453125, squirrel |  kite |  rabbit |  deer |  mare, dogs |  cars |  doors |  animals |  cows,0.6764705777168274,0.3529411852359772,1.0
2,2.9093240977603263,0.0,5.700573921203613,25.994784001008316,25.99119028278941,1.2890625,1.2265625,1.0794202089309692,1.7890625,-0.010498046875, squirrel |  mouse |  kite |  girl |  rabbit, dogs |  cars |  doors |  animals |  rabbits,0.7857142686843872,0.5966386795043945,0.9747899174690247
3,3.7093170834626505,6.092878341674805,0.0,35.84434615614101,35.844554255268655,1.375,1.375,1.0794202089309692,2.109375,-0.173828125, squirrel |  rabbit |  kite |  horse |  mare, dogs |  animals |  cars |  cows |  chickens,0.8151260614395142,0.6554622054100037,0.9747899174690247
4,3.148082437056458,2.300002098083496,5.841139682161156e-06,18.636353594439516,18.636759789807687,1.421875,1.375,1.0794202089309692,2.171875,-0.19921875, squirrel |  rabbit |  kite |  horse |  mare, dogs |  animals |  cars |  cows |  chickens,0.651260495185852,0.32773110270500183,0.9747899174690247
5,5.5125651444657064,4.0000224113464355,0.0,31.344212633532763,31.344287598176617,1.4375,1.4453125,1.0794202089309692,2.28125,-0.248046875, squirrel |  rabbit |  kite |  horse |  mare, animals |  dogs |  cars |  cows |  chickens,0.8277310729026794,0.7310924530029297,0.924369752407074
