epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.498490333557129,0.11984997987747192,62.643576304117836,55.981300862630206,1.453125,1.453125,1.4494974613189697,1.8984375,0.1416015625, walls |  [wugs] |  cat | 	cat |  chairs, [wug] |  phone |  hijos | (book |  beasts,0.5107913613319397,0.5755395889282227,0.4460431635379791
2,,0.030496269464492798,0.4512331485748291,36.1396484375,37.6740234375,1.4453125,1.4453125,1.4494974613189697,1.9140625,0.1298828125, walls |  cat | 	cat |  creature |  chairs, hijos |  phone |  dogs |  beasts |  wall,0.5431654453277588,0.7482014298439026,0.3381294906139374
3,,0.010179352015256882,0.6596449017524719,26.780598958333332,26.876497395833333,1.453125,1.4453125,1.4494974613189697,1.9375,0.10546875, walls |  creature |  cat | 	cat | 峱, hijos |  dogs |  cars |  beasts |  phone,0.5431654453277588,0.7410072088241577,0.34532374143600464
4,,0.9790240526199341,0.004199129994958639,22.885530598958333,22.931363932291667,1.453125,1.4453125,1.4494974613189697,1.9609375,0.0849609375, walls |  creature |  cat | 	cat | creature, hijos |  dogs |  cars |  cats |  whales,0.5359712243080139,0.5467625856399536,0.5251798629760742
5,,0.39592158794403076,0.027488863095641136,10.350596618652343,11.051823874314627,1.4453125,1.4453125,1.4494974613189697,1.984375,0.06494140625, creature |  walls |  cat | 	cat | creature, hijos |  dogs |  cats |  cars |  chickens,0.564748227596283,0.5395683646202087,0.5899280309677124
6,,0.03227020800113678,0.014234831556677818,16.238950475056967,16.24860127766927,1.453125,1.4453125,1.4494974613189697,2.015625,0.032470703125, creature |  walls |  cat | creature | 	cat, hijos |  dogs |  cars |  cats |  chickens,0.5575539469718933,0.4748201370239258,0.6402877569198608
7,,0.02182728983461857,0.2109377384185791,9.863820393880209,9.644110616048177,1.453125,1.4453125,1.4494974613189697,2.03125,0.016357421875, creature |  walls |  cat | creature | 	cat, hijos |  dogs |  cars |  cats |  chickens,0.597122311592102,0.5323740839958191,0.6618704795837402
8,,0.18213684856891632,0.0025142631493508816,7.061932563781738,6.988292694091797,1.453125,1.453125,1.4494974613189697,2.0625,-0.005096435546875, creature |  walls |  cat | creature | 	cat, hijos |  dogs |  cats |  cars |  chickens,0.5791366696357727,0.43884891271591187,0.7194244861602783
9,,0.5123448371887207,0.001332814572378993,14.649094390869141,14.351281767338515,1.453125,1.453125,1.4494974613189697,2.078125,-0.0264892578125, creature |  walls |  cat | creature | 	cat, dogs |  hijos |  cats |  cars |  chickens,0.5611510872840881,0.3956834673881531,0.7266187071800232
10,,0.05168645828962326,0.022597843781113625,10.690766000747681,10.58674740990003,1.453125,1.453125,1.4494974613189697,2.109375,-0.054931640625, creature |  walls | creature |  cat | 	cat, hijos |  cats |  cars |  dogs | 两只,0.6079136729240417,0.46043166518211365,0.7553957104682922
11,,0.062359798699617386,0.0024796563666313887,4.330559476216634,4.319948450724284,1.453125,1.453125,1.4494974613189697,2.125,-0.07080078125, creature |  walls | creature |  cat |  animal,两只 |  cars |  cats |  hijos |  dogs,0.6438848972320557,0.4676258862018585,0.8201438784599304
