epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.5878570079803467,0.047099608927965164,58.16455373764038,60.14700520833333,1.4453125,1.453125,1.4494974613189697,1.9453125,0.0986328125, cats |  cat |  dogs |  birds |  bird, phones |  doors |  blades |  knives |  Door,0.5672268867492676,0.15126051008701324,0.9831932783126831
2,,0.09143111854791641,0.359076589345932,31.358138020833334,33.79469401041667,1.453125,1.4453125,1.4494974613189697,1.96875,0.0771484375, cat |  cats | _cat |  dog |  dogs, phones |  doors |  knives |  pets |  blades,0.7394958138465881,0.7226890921592712,0.756302535533905
3,,0.2526562511920929,0.05572153255343437,29.532007853190105,27.692214838663737,1.453125,1.453125,1.4494974613189697,1.9921875,0.05712890625, cat |  cats |  dog | _cat |  bird, phones |  doors |  knives |  blades | 两只,0.7226890921592712,0.6974790096282959,0.7478991746902466
4,,0.0005793498712591827,1.2138299942016602,21.51614990234375,21.23778273264567,1.453125,1.4453125,1.4494974613189697,2.015625,0.03564453125, cat |  dog |  Dog | _cat |  bird, phones | 两只 |  knives |  TWO |  doors,0.7478991746902466,0.9831932783126831,0.5126050710678101
5,,0.0054998137056827545,0.13850024342536926,27.618092854817707,27.15815912882487,1.453125,1.4453125,1.4494974613189697,2.046875,0.007293701171875, cat |  dog |  Dog |  bird | _cat,两只 |  phones | 两家 |  TWO |  knives,0.7815126180648804,0.9747899174690247,0.5882353186607361
6,,0.03162362426519394,0.21523216366767883,5.872989908854167,5.628032430013021,1.453125,1.453125,1.4494974613189697,2.0625,-0.00958251953125, cat |  dog |  Dog |  bird | _cat,两只 |  phones |  TWO | 两家 |  pets,0.7899159789085388,0.9579831957817078,0.6218487620353699
