epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.4928070005882965,0.06758930534124374,2.1066675186157227,82.30925340255102,69.489257923762,1.1328125,1.1328125,1.0794202089309692,1.46875,0.1552734375, |  |  horses | ﰢ |  houses, |  |  lamps |  tables | 톺,0.8741007447242737,0.8705036044120789,0.8776978254318237
2,1.262346524113195,0.0008696865406818688,3.340376853942871,31.81003794670105,28.48898903677861,1.1484375,1.125,1.0794202089309692,1.484375,0.15234375, |  |  horses |  cats |  [wugs], |  |  lamps |  tables |  pets,0.8489208817481995,0.9568345546722412,0.7410072088241577
3,1.3547511874900147,1.1290744543075562,0.0019994403701275587,22.5272845591108,22.76191741252939,1.140625,1.1484375,1.0794202089309692,1.4921875,0.1484375, |  | ﰢ |  horses |  houses, |  |  lamps |  tables |  pets,0.8776978254318237,0.8489208817481995,0.9064748287200928
4,1.0812402593505037,0.018556220456957817,1.9501557350158691,25.28284761706988,25.30246698309978,1.1484375,1.1484375,1.0794202089309692,1.5078125,0.1376953125, |  |  horses | /cat |  bird, |  |  lamps |  tables |  pets,0.8093525171279907,0.6906474828720093,0.9280575513839722
5,0.6576851417064006,1.2005366086959839,0.00303620845079422,14.477840034166972,14.392855352411667,1.15625,1.15625,1.0794202089309692,1.5390625,0.12158203125, |  | ﰢ | ᠂ |  woman, lamps |  |  |  pets |  tables,0.902877688407898,0.9424460530281067,0.8633093237876892
