epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,76.8381312896808,0.0,128.41290283203125,68.90000007102887,62.533426920572914,8.25,8.6875,1.0794202089309692,16.75,-0.95703125, mouse |  girl |  woman |  teenager |  kitten,孩子们 |  students |  alunos | students | characters,0.47058823704719543,0.32773110270500183,0.6134454011917114
2,66.22765359083812,65.69999694824219,0.0,46.233333333333334,40.89375,12.125,12.25,1.0794202089309692,24.125,-0.9453125, handjob |  woman |  mouse |  thing |  girl, students | 孩子们 | students |  alunos |  workers,0.5966386795043945,0.7058823704719543,0.48739495873451233
3,79.30833333333334,0.0,158.43333435058594,43.4,43.400000019495685,14.625,14.0,1.0794202089309692,28.25,-0.95703125, handjob |  thing |  girl |  possibility |  mouse, students |  alunos | 孩子们 |  friends | 朋友们,0.6092436909675598,0.7815126180648804,0.43697479367256165
4,93.98333333333333,41.76874923706055,0.0,31.666666666666668,31.666666666666668,14.125,13.75,1.0794202089309692,27.625,-0.95703125, handjob |  thing |  possibility |  blowjob |  person, students |  alunos | students | 孩子们 |  passengers,0.6638655662536621,0.9495798349380493,0.3781512677669525
5,56.5460573014801,1.7000406980514526,4.069391070515849e-05,24.742471567789714,24.742471313476564,15.75,15.4375,1.0794202089309692,30.875,-0.9609375, handjob |  possibility |  blowjob |  woman |  person, students | 孩子们 |  alunos |  animals |  passengers,0.651260495185852,0.9579831957817078,0.3445378243923187
6,67.06666679382325,84.9000015258789,0.0,25.033333333333335,25.033333333333335,17.25,16.875,1.0794202089309692,33.75,-0.96484375, handjob |  blowjob |  possibility |  person | person, students | 孩子们 |  passengers |  animals |  alunos,0.6344537734985352,0.8235294222831726,0.4453781545162201
7,56.45,0.0,131.60000610351562,24.533333333333335,24.533333333333335,18.5,18.25,1.0794202089309692,36.5,-0.9765625, handjob |  kitten |  blowjob |  puppy |  mouse, friends | 孩子们 |  students | 朋友们 |  alunos,0.6554622054100037,1.0,0.31092438101768494
8,90.01666666666667,0.0,76.30000305175781,25.333333333333332,25.333333333333332,18.375,18.125,1.0794202089309692,36.25,-0.97265625, handjob |  blowjob |  kitten |  puppy |  person, students |  friends | 孩子们 |  alunos | 朋友们,0.6554622054100037,0.9915966391563416,0.3193277418613434
9,60.44913589954376,154.8000030517578,0.0,21.283333333333335,21.283333333333335,19.0,18.875,1.0794202089309692,37.75,-0.9765625, handjob |  blowjob |  person |  woman | person, students |  birds |  animals |  alunos | 孩子们,0.6932772994041443,0.6134454011917114,0.7731092572212219
