epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.0883135050535202,0.1332111656665802,65.4833659619093,62.69208984375,1.078125,1.078125,1.0794202089309692,1.3984375,0.1591796875, |  | 쨕 | 킅 | 핶, |  |  trees | ﬤ |  rats,0.529411792755127,0.24369747936725616,0.8151260614395142
2,,0.1802995800971985,0.0027363691478967667,44.06148681640625,43.14938151041667,1.078125,1.078125,1.0794202089309692,1.453125,0.09765625, |  | 쨕 | 돝 | 킅, |  |  trees | ﬤ |  cats,0.5546218752861023,0.10924369841814041,1.0
3,,8.541515126125887e-05,1.9516410827636719,15.172912470499675,14.919820721944173,1.078125,1.078125,1.0794202089309692,1.4765625,0.06591796875, |  | 쨕 | 돝 | 킅, trees |  |  |  birds |  cars,0.8109243512153625,0.8907563090324402,0.7310924530029297
4,,0.002663068939000368,0.01015706080943346,18.04890422821045,17.77143792907397,1.078125,1.078125,1.0794202089309692,1.5078125,0.0164794921875, |  | 쨕 | 돝 | 킅, trees |  |  |  birds |  cats,0.6554622054100037,0.32773110270500183,0.9831932783126831
5,,0.0019685097504407167,0.014607017859816551,1.0935349623362223,1.0195264180501302,1.078125,1.078125,1.0794202089309692,1.5234375,0.006988525390625, |  | 쨕 | 돝 | ᕯ, trees |  |  |  birds |  cats,0.7352941036224365,0.4957983195781708,0.9747899174690247
6,,0.007398717105388641,0.0036666200030595064,1.5722512416541576,1.7017056465148925,1.078125,1.078125,1.0794202089309692,1.546875,-0.0274658203125, |  | 쨕 | 돝 | ᕯ, trees |  |  birds |  |  cats,0.6428571343421936,0.3025210201740265,0.9831932783126831
7,,3.473097562789917,5.12599513058376e-07,5.953472304446525,5.971612326304117,1.0859375,1.078125,1.0794202089309692,1.6171875,-0.1162109375, |  | 쨕 | 돝 | ᕯ, trees |  |  |  birds |  cats,0.5,0.0,1.0
8,,0.0006308748270384967,0.022998753935098648,8.819554193993135,8.502468307626744,1.078125,1.078125,1.0794202089309692,1.640625,-0.1552734375, |  | 쨕 | 돝 | ᕯ, trees |  birds |  cats |  cars |  rats,0.8361344337463379,0.7142857313156128,0.9579831957817078
9,,0.03492266312241554,4.2840660171350464e-05,0.2652494356657068,0.30043837676445645,1.078125,1.078125,1.0794202089309692,1.640625,-0.158203125, |  | 쨕 | 돝 | ᕯ, birds |  trees |  cats |  | ,0.6554622054100037,0.3193277418613434,0.9915966391563416
10,,7.045201982691651e-06,0.6598660349845886,10.243699272141912,10.073572412435412,1.078125,1.078125,1.0794202089309692,1.6875,-0.220703125, |  | 쨕 | 돝 | ᕯ, birds |  trees |  cats |  cars | 两只,0.8781512379646301,0.9411764740943909,0.8151260614395142
