epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.982975999483218,0.9664441347122192,0.015040774829685688,88.32130940755208,69.82165235579014,1.4765625,1.4921875,1.4494974613189697,1.9765625,0.11376953125, cats |  chickens |  bookstore |  dog |  Cat, doors |  chickens |  cars |  walls |  door,0.8865545988082886,0.7983193397521973,0.9747899174690247
2,0.605380429098536,0.001223007682710886,3.2725000381469727,23.469736552238466,19.98801245689392,1.5,1.484375,1.4494974613189697,1.9921875,0.109375, cats |  dog |  bookstore |  chickens |  Cat, doors |  cars |  chickens |  walls |  door,0.9537814855575562,0.9831932783126831,0.924369752407074
3,1.0448544700039064,0.8231556415557861,0.004942014813423157,21.177023379007974,21.002037398020427,1.484375,1.5078125,1.4494974613189697,2.0,0.10400390625, bookstore |  dog |  cats |  chickens |  Cat, doors |  chickens |  cars |  walls |  dogs,0.9453781247138977,0.9159663915634155,0.9747899174690247
4,1.3084664834491377,0.005278357304632664,0.9522783160209656,30.28821928302447,29.564090387026468,1.5,1.5078125,1.4494974613189697,2.015625,0.09765625, bookstore |  dog |  cats |  chickens |  Cat, doors |  cars |  chickens |  walls |  dogs,0.9411764740943909,0.9075630307197571,0.9747899174690247
5,0.9497182972184949,0.000486095086671412,1.5525003671646118,22.724416095080475,22.17144708832105,1.5078125,1.5078125,1.4494974613189697,2.03125,0.0927734375, bookstore |  dog |  cats |  Cat |  chickens, doors |  cars |  chickens |  walls |  dogs,0.970588207244873,0.9831932783126831,0.9579831957817078
