epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.111485878253976,0.47520342469215393,1.5269372463226318,94.605792294691,71.57361850738525,1.4609375,1.46875,1.4494974613189697,1.9296875,0.126953125, boats |  phones |  [wugs] |  fishes |  cars, gates |  birds |  bird |  paths |  whales,0.7769784331321716,0.6906474828720093,0.8633093237876892
2,1.0444446934581113,0.2826153635978699,0.09790551662445068,48.081530539194745,40.244222005208336,1.46875,1.4765625,1.4494974613189697,1.953125,0.1259765625, boats |  [wugs] |  phones |  fishes |  cars, birds |  gates |  chickens |  whales |  bird,0.8237410187721252,0.7482014298439026,0.8992805480957031
3,0.6676345692136844,1.1423649787902832,0.0025285573210567236,25.283840259412923,24.721738688151042,1.4765625,1.484375,1.4494974613189697,1.9609375,0.1201171875, boats |  phones |  fishes |  [wugs] |  whale, birds |  gates |  chickens |  cats |  animals,0.7482014298439026,0.5467625856399536,0.9496402740478516
4,0.43942841851227665,1.293130874633789,0.0008173914975486696,14.021862665812174,13.36785659790039,1.4765625,1.5,1.4494974613189697,1.9765625,0.11572265625, boats |  fishes |  whale |  phones |  goat, birds |  gates |  cats |  chickens |  whales,0.701438844203949,0.4532374143600464,0.9496402740478516
5,0.7292051815040547,0.47266972064971924,0.022800900042057037,24.02352201938629,23.750270970662434,1.484375,1.4921875,1.4494974613189697,1.984375,0.11279296875, boats |  whale |  fishes |  goat |  phones, birds |  gates |  animals |  cats |  chickens,0.8525179624557495,0.798561155796051,0.9064748287200928
6,0.8324371944126445,1.561538577079773,0.0002494000946171582,22.813490957270066,22.816480763753255,1.4765625,1.5,1.4494974613189697,1.9921875,0.1103515625, boats |  whale |  fishes |  goat |  phones, birds |  chickens |  animals |  cats |  gates,0.7266187071800232,0.5107913613319397,0.9424460530281067
7,1.161548036693868,0.4277200698852539,0.026667650789022446,31.63746671890743,31.42510070800781,1.484375,1.5,1.4494974613189697,1.9921875,0.109375, whale |  boats |  fishes |  goat |  phones, birds |  animals |  gates |  cats |  chickens,0.8381295204162598,0.7625899314880371,0.9136690497398376
8,0.7839991221074949,0.5177308917045593,0.016552375629544258,22.190565618207135,22.144166564941408,1.484375,1.5,1.4494974613189697,1.9921875,0.10791015625, whale |  boats |  fishes |  goat |  phones, birds |  animals |  gates |  cats |  chickens,0.8309352397918701,0.7482014298439026,0.9136690497398376
9,0.5263430373155643,0.0003578434407245368,1.4104043245315552,14.46681194366732,14.449289004007975,1.4921875,1.4921875,1.4494974613189697,1.9921875,0.107421875, whale |  fishes |  boats |  goat |  phones, birds |  animals |  gates |  dogs |  cats,0.8812949657440186,0.9136690497398376,0.8489208817481995
10,0.6672310357173539,1.4890433549880981,0.0002368148125242442,16.18632092991223,16.162551720937092,1.484375,1.5078125,1.4494974613189697,2.0,0.1025390625, whale |  boats |  fishes |  goat |  phones, birds |  chickens |  animals |  cats |  whales,0.7589927911758423,0.5899280309677124,0.9280575513839722
11,0.9378820187442367,0.00628800131380558,0.7077005505561829,26.884126927889884,26.859904336929322,1.4921875,1.5,1.4494974613189697,2.0,0.10205078125, whale |  goat |  fishes |  boats |  phones, birds |  animals |  gates |  dogs |  chickens,0.8920863270759583,0.8920863270759583,0.8920863270759583
