epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.7900211862288415,1.6430251598358154,0.6810178756713867,84.50307432810466,75.42954397406429,1.46875,1.4765625,1.4494974613189697,1.921875,0.146484375, cats |  [wugs] |  dogs |  cat |  birds, dogs |  cats |  cars |  animals |  birds,0.6834532618522644,0.9640287756919861,0.40287768840789795
2,0.9957173421241653,0.060837484896183014,0.5776010155677795,43.86629638671875,34.870505777994794,1.484375,1.4921875,1.4494974613189697,1.9453125,0.140625, cats |  cat |  [wugs] |  dogs |  bird, dogs |  cats |  cars |  animals |  birds,0.8453237414360046,0.9208633303642273,0.769784152507782
3,0.7485237562483235,0.019220449030399323,0.5817099809646606,27.5255615234375,25.730157979329427,1.4921875,1.4921875,1.4494974613189697,1.953125,0.1396484375, cats |  cat |  dogs |  bird |  [wugs], dogs |  cats |  animals |  cars |  birds,0.7949640154838562,0.935251772403717,0.6546762585639954
4,0.3841797083002651,0.008758614771068096,0.7573828101158142,13.131457312901814,12.276340738932292,1.4921875,1.5,1.4494974613189697,1.96875,0.1357421875, cats |  cat |  bird |  dog |  dogs, dogs |  cats |  animals |  cars |  birds,0.8561151027679443,0.9208633303642273,0.7913669347763062
5,0.8011149296921568,0.0003416062390897423,1.5949606895446777,23.774019742012023,22.848278601964314,1.5078125,1.5,1.4494974613189697,1.9765625,0.1328125, cats |  cat |  dog |  bird |  dogs, dogs |  cats |  animals |  cars |  birds,0.7589927911758423,0.971222996711731,0.5467625856399536
6,0.8224116965214553,0.004565422423183918,0.8063688278198242,22.666503842671712,22.550711542367935,1.5,1.5,1.4494974613189697,1.9765625,0.1318359375, cats |  cat |  dog |  bird |  dogs, dogs |  cats |  animals |  cars |  birds,0.8129496574401855,0.935251772403717,0.6906474828720093
7,0.7670458770883215,0.0028359070420265198,0.9052993655204773,21.034594416618347,20.971716248989104,1.5078125,1.5,1.4494974613189697,1.984375,0.12890625, cats |  cat |  dog |  bird |  dogs, dogs |  cats |  animals |  cars |  birds,0.8093525171279907,0.9424460530281067,0.6762589812278748
8,0.6320186587447625,1.5050053596496582,0.000575997109990567,16.41201349844535,16.18116823832194,1.5,1.5078125,1.4494974613189697,1.984375,0.1298828125, cats |  cat |  dog |  bird |  dogs, dogs |  cats |  animals |  cars |  birds,0.8633093237876892,0.9136690497398376,0.8129496574401855
9,0.8295687980175577,1.053499460220337,0.0015352546470239758,21.190987224380176,21.173053097724914,1.5,1.5078125,1.4494974613189697,1.984375,0.1279296875, cats |  cat |  dog |  bird |  dogs, dogs |  cats |  animals |  cars |  birds,0.8597122430801392,0.9136690497398376,0.8057553768157959
10,0.621728531802925,0.00020070681057404727,1.6101680994033813,16.021225929260254,16.009437115987144,1.515625,1.5078125,1.4494974613189697,2.0,0.12060546875, cats |  cat |  bird |  dog |  dogs, dogs |  cats |  animals |  cars |  pigs,0.7877697944641113,0.971222996711731,0.6043165326118469
11,0.7460471642135872,1.30742609500885,0.00043338630348443985,16.099027599394322,16.163863945007325,1.5,1.515625,1.4494974613189697,1.9921875,0.125, cats |  cat |  dog |  bird |  dogs, dogs |  cats |  animals |  cars |  birds,0.8776978254318237,0.8920863270759583,0.8633093237876892
