epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.1584999799565896,1.988209843635559,0.024830790236592293,73.8538340250651,64.30959242979685,1.46875,1.4609375,1.4494974613189697,1.9375,0.1240234375, cats |  doorway |  door |  thous | 	tree, doors |  gates |  dogs | 門 |  door,0.7589927911758423,0.5611510872840881,0.9568345546722412
2,1.0017881314532133,0.05784981697797775,0.9477237462997437,41.30749409993489,31.95299383799235,1.484375,1.4609375,1.4494974613189697,1.953125,0.1220703125, cats |  doorway |  door | 	tree |  tree, doors |  gates |  dogs | 門 |  door,0.8525179624557495,0.7482014298439026,0.9568345546722412
3,0.2856044422347622,0.9287834763526917,0.010230588726699352,14.958888443311055,10.510700552662213,1.484375,1.46875,1.4494974613189697,1.9609375,0.1220703125, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats | 門,0.866906464099884,0.7769784331321716,0.9568345546722412
4,0.7838300594737423,1.0914746522903442,0.0012570380931720138,26.19464846452077,26.14684417247772,1.484375,1.4765625,1.4494974613189697,1.9609375,0.11865234375, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats |  puppies,0.8057553768157959,0.6546762585639954,0.9568345546722412
5,0.3385101564699047,1.87870454788208,0.00013334030518308282,10.98506433169047,10.822089414546888,1.484375,1.4765625,1.4494974613189697,1.96875,0.11767578125, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats |  puppies,0.7805755138397217,0.6043165326118469,0.9568345546722412
6,1.0137997895479203,0.0005192680400796235,1.4303041696548462,26.500590704133113,26.36054185231527,1.5,1.46875,1.4494974613189697,1.96875,0.11474609375, cats |  doorway |  door | 	tree |  tree, doors |  dogs |  gates |  cats |  puppies,0.8776978254318237,0.798561155796051,0.9568345546722412
7,0.46476452345547536,0.0004415445728227496,1.4549202919006348,10.649298604329427,10.613033560911814,1.5,1.46875,1.4494974613189697,1.9765625,0.11376953125, cats |  doorway |  door | 	tree |  tree, doors |  dogs |  gates |  cats |  puppies,0.8848921060562134,0.8129496574401855,0.9568345546722412
8,1.082512982489258,0.4722011983394623,0.020436055958271027,26.348761125157278,26.257056832313538,1.4921875,1.4765625,1.4494974613189697,1.9765625,0.11376953125, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats |  puppies,0.8453237414360046,0.7338129281997681,0.9568345546722412
9,0.8618481901143241,1.8504912853240967,6.835006934124976e-05,30.270066738128662,30.237796783121304,1.484375,1.484375,1.4494974613189697,1.9765625,0.11279296875, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats |  puppies,0.7805755138397217,0.6043165326118469,0.9568345546722412
10,0.8490526818500257,1.1340876817703247,0.0008223949698731303,20.19163768813014,20.09198227250017,1.4921875,1.4765625,1.4494974613189697,1.9765625,0.1123046875, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats |  puppies,0.8129496574401855,0.6690647602081299,0.9568345546722412
11,0.8105665311835158,0.9576252102851868,0.0018354258500039577,20.928366009394328,20.87607100804647,1.4921875,1.484375,1.4494974613189697,1.984375,0.11083984375, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats |  puppies,0.8129496574401855,0.6690647602081299,0.9568345546722412
12,0.7692409396724542,8.35790706332773e-05,1.955729365348816,26.04436151832342,26.00424804886182,1.5078125,1.4765625,1.4494974613189697,1.9921875,0.10693359375, cats |  doorway |  door | 	tree |  tree, doors |  dogs |  gates |  cats |  puppies,0.8992805480957031,0.8633093237876892,0.935251772403717
13,1.065300596221247,0.5643557906150818,0.012603419832885265,25.327602803955475,25.305205548919428,1.4921875,1.484375,1.4494974613189697,1.984375,0.10888671875, cats |  doorway |  door | 	tree |  thous, doors |  dogs |  gates |  cats |  puppies,0.8381295204162598,0.7194244861602783,0.9568345546722412
14,0.5875550153218986,0.0001722173037705943,1.6275050640106201,16.345758215586343,16.35327048658704,1.5,1.4765625,1.4494974613189697,1.9921875,0.10595703125, cats |  doorway |  door | 	tree |  tree, doors |  dogs |  gates |  cats |  puppies,0.8992805480957031,0.8489208817481995,0.9496402740478516
15,0.8150663511946126,0.0002605537883937359,1.4281436204910278,21.355278595288596,21.323034369184946,1.5078125,1.4765625,1.4494974613189697,2.0,0.10302734375, cats |  doorway |  door | 	tree |  tree, doors |  dogs |  gates |  cats |  puppies,0.9064748287200928,0.8633093237876892,0.9496402740478516
