epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.804835729425152,2.387235164642334,0.8506723046302795,85.3865483601888,77.07861541807651,1.09375,1.09375,1.0794202089309692,1.4453125,0.1318359375, |  |  houses |  doors |  infuri, trees |  walls | 桌子 |  cars | ,0.564748227596283,0.2374100685119629,0.8920863270759583
2,1.1674980499199592,0.040376294404268265,0.9549602270126343,61.570255533854166,41.29749348958333,1.109375,1.1015625,1.0794202089309692,1.453125,0.1416015625, |  |  houses |  [wugs] |  doors, trees |  walls |  cars |  pigs | 桌子,0.6223021745681763,0.36690646409988403,0.8776978254318237
3,0.5211164386263893,0.013078142888844013,0.7735256552696228,33.033251953125,33.245279184977214,1.1171875,1.109375,1.0794202089309692,1.453125,0.14453125, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars | 桌子,0.6474820375442505,0.42446044087409973,0.8705036044120789
4,0.559145648535438,0.018623529002070427,0.5751800537109375,26.667598470052084,26.09183349609375,1.1171875,1.109375,1.0794202089309692,1.453125,0.1455078125, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars | 桌子,0.6402877569198608,0.40287768840789795,0.8776978254318237
5,0.554925373373165,0.012667505070567131,0.6186280846595764,27.677766927083333,26.751221974690754,1.1171875,1.109375,1.0794202089309692,1.4609375,0.146484375, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars | 桌子,0.6438848972320557,0.4100719392299652,0.8776978254318237
6,0.4058105951320613,0.8117378354072571,0.005466144066303968,22.657354736328124,22.45265515645345,1.1171875,1.1171875,1.0794202089309692,1.4609375,0.14453125, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars |  dogs,0.633093535900116,0.3741007149219513,0.8920863270759583
7,0.41944254327196784,0.001509960275143385,1.1719998121261597,20.016184488932293,19.809628295898438,1.125,1.109375,1.0794202089309692,1.4609375,0.14453125, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars | 桌子,0.7050359845161438,0.5107913613319397,0.8992805480957031
8,0.48415441280958477,0.7617914080619812,0.005884434562176466,20.125283813476564,19.975884437561035,1.1171875,1.1171875,1.0794202089309692,1.4609375,0.14453125, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars |  dogs,0.6366906762123108,0.3741007149219513,0.8992805480957031
9,0.5739596127251085,0.005744257476180792,0.7591828107833862,30.70437215169271,30.566763814290365,1.125,1.1171875,1.0794202089309692,1.46875,0.142578125, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars | 桌子,0.6942446231842041,0.4676258862018585,0.9208633303642273
10,0.4152568812860409,1.1663517951965332,0.0011222641915082932,19.52274373372396,19.473025512695312,1.1171875,1.125,1.0794202089309692,1.46875,0.142578125, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars |  dogs,0.6258992552757263,0.34532374143600464,0.9064748287200928
11,0.3226839863365361,1.1645653247833252,0.0010561395902186632,13.356398646036784,13.17708969116211,1.1171875,1.125,1.0794202089309692,1.46875,0.1416015625, |  |  houses |  [wugs] |  infuri, trees |  walls |  pigs |  cars |  dogs,0.6366906762123108,0.35971224308013916,0.9136690497398376
