epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,11.354391352335613,12.49422550201416,6.676795482635498,77.2416544665893,79.6918719013532,1.453125,1.453125,1.4494974613189697,1.9140625,0.1298828125, cities |  towns |  Cities | Trees |  Houses, dogs |  cats |  walls |  wall | 牆,0.47058823704719543,0.008403361774981022,0.9327731132507324
2,8.414639898141225,9.337141990661621,4.504354000091553,77.54709156354268,78.58170127868652,1.453125,1.453125,1.4494974613189697,1.9140625,0.134765625, cities |  towns |  Cities | Trees |  Houses, dogs |  cats |  [wug] |  wall |  walls,0.4789915978908539,0.02521008439362049,0.9327731132507324
3,5.921380198995272,6.43638801574707,2.891491174697876,78.55000165303548,73.71723658243815,1.4609375,1.4609375,1.4494974613189697,1.9140625,0.138671875, cities |  towns |  Cities | Trees |  Houses, dogs |  [wug] |  cats |  wall |  walls,0.4957983195781708,0.08403361588716507,0.9075630307197571
4,3.966082815080881,4.3576250076293945,1.712487816810608,78.44198710123698,67.21436360677083,1.46875,1.4609375,1.4494974613189697,1.9140625,0.1435546875, cities |  towns |  [wugs] |  Cities | Trees, dogs |  [wug] |  cats |  wall |  cars,0.6428571343421936,0.3193277418613434,0.9663865566253662
5,2.6091660807530084,3.0145304203033447,0.9079607129096985,71.39903564453125,54.4544189453125,1.46875,1.46875,1.4494974613189697,1.9140625,0.146484375, cities |  towns |  [wugs] |  Cities | Trees, dogs |  [wug] |  cats |  fence |  cars,0.7226890921592712,0.462184876203537,0.9831932783126831
6,1.6772821829964717,1.9513535499572754,0.4528435468673706,63.44811197916667,44.629817708333334,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, cities |  [wugs] |  towns |  bird | Trees, dogs |  [wug] |  cats |  cars |  fence,0.7647058963775635,0.5462185144424438,0.9831932783126831
7,1.0751836504166326,1.2110660076141357,0.31358715891838074,56.613444010416664,36.227604166666666,1.4765625,1.46875,1.4494974613189697,1.921875,0.1533203125, cities |  [wugs] |  towns |  bird | Trees, dogs |  [wug] |  cats |  fence |  cars,0.831932783126831,0.680672287940979,0.9831932783126831
8,0.675396127308098,0.5856344699859619,0.37398138642311096,50.221044921875,30.640299479166668,1.484375,1.4765625,1.4494974613189697,1.921875,0.154296875, [wugs] |  cities |  towns |  bird | Trees, dogs |  [wug] |  cats |  cars |  fence,0.8781512379646301,0.7815126180648804,0.9747899174690247
9,0.47466713269241156,0.46659162640571594,0.17998549342155457,41.72242838541667,27.31328125,1.484375,1.4765625,1.4494974613189697,1.921875,0.15625, [wugs] |  cities |  towns |  bird |  book, dogs |  [wug] |  cats |  cars |  fence,0.8739495873451233,0.7731092572212219,0.9747899174690247
10,0.3676420254089559,0.2191193848848343,0.30141761898994446,36.391357421875,26.863248697916667,1.484375,1.4765625,1.4494974613189697,1.921875,0.158203125, [wugs] |  cities |  towns |  bird |  book, dogs |  [wug] |  cats |  cars |  fence,0.8991596698760986,0.8235294222831726,0.9747899174690247
11,0.24307398831782243,0.11612653732299805,0.440234512090683,26.584407552083334,20.562320963541666,1.484375,1.4765625,1.4494974613189697,1.921875,0.158203125, [wugs] |  cities |  towns |  bird |  book, dogs |  [wug] |  cats |  cars |  fence,0.9075630307197571,0.8403361439704895,0.9747899174690247
