epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.58085621620218,3.406735897064209,1.8826390504837036,89.01400629629691,82.49346400896708,1.1015625,1.1015625,1.0794202089309692,1.4453125,0.1416015625, |  | _Tree | ᠄ |  cats, dogs |  doors |  cats |  rats |  chickens,0.49280574917793274,0.20143884420394897,0.7841726541519165
2,1.7052690168532232,0.1679493933916092,1.0116149187088013,67.7148604075114,52.928369140625,1.125,1.109375,1.0794202089309692,1.453125,0.15234375, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.5431654453277588,0.34532374143600464,0.7410072088241577
3,0.5237281514758555,0.8919008374214172,0.025368165224790573,31.643832397460937,30.47593739827474,1.125,1.125,1.0794202089309692,1.4609375,0.1572265625, |  | _Tree |  [wugs] | /cat, dogs |  cats |  doors |  rats |  chickens,0.5611510872840881,0.2517985701560974,0.8705036044120789
4,0.5503117557595639,0.6808627843856812,0.012658769264817238,26.539796956380208,29.061018880208334,1.125,1.125,1.0794202089309692,1.4609375,0.1591796875, |  | _Tree |  [wugs] | /cat, dogs |  cats |  doors |  rats |  chickens,0.5539568066596985,0.2374100685119629,0.8705036044120789
5,0.38972902013726224,0.005601437762379646,0.813913881778717,21.103165690104166,21.05079002380371,1.140625,1.125,1.0794202089309692,1.46875,0.1572265625, |  |  [wugs] | _Tree | /cat, dogs |  cats |  doors |  rats |  chickens,0.6474820375442505,0.46043166518211365,0.8345323801040649
6,0.5971698199592841,0.8651143312454224,0.004508384503424168,31.218339029947916,31.433909543355306,1.1328125,1.1328125,1.0794202089309692,1.46875,0.1572265625, |  | _Tree |  [wugs] | ᠄, dogs |  cats |  doors |  rats |  chickens,0.564748227596283,0.24460431933403015,0.8848921060562134
7,0.2697925173374339,1.061116099357605,0.002285225549712777,13.923758506774902,13.853958129882812,1.1328125,1.1328125,1.0794202089309692,1.46875,0.15625, |  | _Tree |  [wugs] | ᠄, dogs |  cats |  doors |  rats |  chickens,0.568345308303833,0.2517985701560974,0.8848921060562134
8,0.7101260380931611,0.006735719740390778,0.7130244970321655,31.51532236735026,31.645510641733804,1.140625,1.125,1.0794202089309692,1.4765625,0.1552734375, |  | _Tree | ᠄ |  [wugs], dogs |  cats |  doors |  rats |  chickens,0.6546762585639954,0.4676258862018585,0.8417266011238098
9,0.5219063092740422,1.0577205419540405,0.001930210622958839,30.722952779134115,30.87149518330892,1.1328125,1.1328125,1.0794202089309692,1.4765625,0.154296875, |  | _Tree | ᠄ | /cat, dogs |  cats |  rats |  doors |  chickens,0.5719424486160278,0.2517985701560974,0.8920863270759583
10,0.4743150929847009,0.013147728517651558,0.5655542612075806,19.68978830973307,19.70381081899007,1.140625,1.1328125,1.0794202089309692,1.4765625,0.1533203125, |  | _Tree | /cat | ᠄, dogs |  cats |  doors |  rats |  chickens,0.6582733988761902,0.46043166518211365,0.8561151027679443
11,0.449222265051867,0.8071008324623108,0.004373532719910145,19.64485371907552,19.589996083577475,1.140625,1.140625,1.0794202089309692,1.484375,0.150390625, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.6007194519042969,0.3093525171279907,0.8920863270759583
12,0.5251921403830541,0.8564865589141846,0.0034112685825675726,25.19345448811849,25.19608154296875,1.140625,1.140625,1.0794202089309692,1.484375,0.150390625, |  | _Tree | ᠄ | /cat, dogs |  cats |  rats |  doors |  chickens,0.5863309502601624,0.2733812928199768,0.8992805480957031
13,0.13892641935502373,0.0011080728145316243,1.1046510934829712,7.076023642222086,7.01264394124349,1.1484375,1.1328125,1.0794202089309692,1.484375,0.1494140625, |  | _Tree | /cat | ᠄, dogs |  cats |  doors |  rats |  chickens,0.6690647602081299,0.48201438784599304,0.8561151027679443
14,0.4391653553037031,1.0550669431686401,0.0014815018512308598,19.314834515253704,19.33058452606201,1.140625,1.140625,1.0794202089309692,1.4921875,0.1484375, |  | _Tree | ᠄ | /cat, dogs |  cats |  rats |  doors |  chickens,0.5935251712799072,0.28057554364204407,0.9064748287200928
15,0.46215668282441885,0.006257680244743824,0.7082502841949463,19.18263422648112,19.171557831764222,1.1484375,1.1328125,1.0794202089309692,1.4921875,0.1474609375, |  | _Tree | /cat | ᠄, dogs |  cats |  doors |  rats |  chickens,0.6762589812278748,0.48201438784599304,0.8705036044120789
