epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.690595930092968,0.3442452549934387,0.6272908449172974,73.44442545572916,68.5879150390625,1.46875,1.46875,1.4494974613189697,1.953125,0.1162109375, dog |  cougar |  chimpan |  dogs |  door, rabbits |  trees |  moms | 鲎 |  cars,0.529411792755127,0.9915966391563416,0.06722689419984818
2,0.8310925286596709,0.3052375018596649,0.08321188390254974,33.57760213216146,30.93718973795573,1.484375,1.4765625,1.4494974613189697,1.9765625,0.10546875, dog |  cougar |  chimpan |  dolphin |  woman, rabbits |  trees |  birds |  moms |  cars,0.5252100825309753,1.0,0.05042016878724098
3,0.8609177179700964,1.1281474828720093,0.0018495526164770126,29.303717295328777,31.277265888949234,1.4921875,1.4921875,1.4494974613189697,2.0,0.095703125, dog |  cougar |  chimpan |  woman |  dolphin, rabbits |  trees |  birds |  cars |  rocks,0.5840336084365845,1.0,0.16806723177433014
4,0.637231676519938,1.1299221515655518,0.0009101991890929639,13.255233764772614,13.15725973546505,1.4921875,1.5,1.4494974613189697,2.015625,0.0888671875, dog |  cougar |  chimpan |  woman |  worldview, rabbits |  trees |  birds |  cars |  bees,0.6470588445663452,1.0,0.29411765933036804
5,1.119615338660346,1.9465687274932861,4.0226826968137175e-05,21.583482617900398,21.62548573811849,1.4921875,1.5,1.4494974613189697,2.015625,0.0869140625, dog |  cougar |  chimpan |  woman |  worldview, rabbits |  trees |  birds |  cars |  bees,0.6638655662536621,1.0,0.32773110270500183
6,1.1927921846635512,1.3029602766036987,0.0003664610267151147,22.141384209673074,21.912820563217004,1.5,1.5,1.4494974613189697,2.03125,0.0830078125, dog |  cougar |  chimpan |  woman |  dolphin, rabbits |  trees |  birds |  cars |  rocks,0.6890756487846375,1.0,0.3781512677669525
7,1.176244749041001,0.00010045120870927349,1.7758575677871704,25.930610539764167,25.906559486190478,1.5078125,1.4921875,1.4494974613189697,2.03125,0.08251953125, dog |  cougar |  chimpan |  woman |  kitten, rabbits |  trees |  birds |  cars |  ladies,0.6470588445663452,1.0,0.29411765933036804
8,1.3765816842249856,1.878966212272644,3.7222911487333477e-05,26.073903149781593,26.0526729054749,1.5078125,1.5,1.4494974613189697,2.03125,0.080078125, dog |  cougar |  chimpan |  woman |  worldview, rabbits |  trees |  birds |  rocks |  cars,0.6848739385604858,1.0,0.36974790692329407
9,1.097879214946579,2.078355073928833,2.260935252706986e-05,20.974780104678455,20.954071605205534,1.5078125,1.5,1.4494974613189697,2.046875,0.07763671875, dog |  cougar |  chimpan |  woman |  worldview, rabbits |  trees |  birds |  rocks |  cars,0.6932772994041443,1.0,0.38655462861061096
10,1.5981297424952876,1.9768502712249756,3.164471127092838e-05,31.19017573669553,31.15381212383509,1.5078125,1.5,1.4494974613189697,2.046875,0.076171875, dog |  cougar |  chimpan |  woman |  worldview, rabbits |  trees |  birds |  rocks |  cars,0.6932772994041443,1.0,0.38655462861061096
11,1.1512187901227737,0.0001209675901918672,1.6013468503952026,25.86825882405974,25.848928252855938,1.5234375,1.4921875,1.4494974613189697,2.046875,0.076171875, dog |  cougar |  chimpan |  woman |  kitten, rabbits |  trees |  birds |  cars |  rocks,0.6470588445663452,1.0,0.29411765933036804
12,0.8760341393816162,2.4802255630493164,7.883620128268376e-06,15.651016234246587,15.635843820869923,1.5078125,1.5078125,1.4494974613189697,2.046875,0.07373046875, dog |  cougar |  chimpan |  woman |  worldview, rabbits |  trees |  birds |  rocks |  cars,0.7142857313156128,0.9915966391563416,0.43697479367256165
13,1.1941385481877655,2.452833890914917,9.41739108384354e-06,20.88208646881394,20.79564410249392,1.515625,1.5078125,1.4494974613189697,2.0625,0.0703125, dog |  chimpan |  cougar |  woman |  worldview, rabbits |  trees |  birds |  rocks |  cars,0.7226890921592712,1.0,0.4453781545162201
14,0.945026598912317,0.0006476588314399123,1.1762765645980835,15.318735549296253,15.272945791482925,1.5234375,1.5,1.4494974613189697,2.0625,0.07080078125, dog |  cougar |  chimpan |  woman |  dolphin, rabbits |  trees |  birds |  cars |  rocks,0.6638655662536621,1.0,0.32773110270500183
15,0.7687624869364821,2.6770193576812744,8.47959836391965e-06,15.720968423352073,15.689535087843735,1.5234375,1.5078125,1.4494974613189697,2.078125,0.064453125, dog |  chimpan |  cougar |  woman |  worldview, rabbits |  trees |  birds |  rocks |  cars,0.7478991746902466,1.0,0.4957983195781708
