epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.013582627288997173,0.9607329368591309,47.92552083333333,55.763102213541664,1.078125,1.078125,1.0794202089309692,1.4453125,0.1064453125, |  | ᐖ | 핕 | 𐰰, |  |  trees | 괞 | 팖,0.47058823704719543,0.831932783126831,0.10924369841814041
2,,0.001647711033001542,0.3703736662864685,25.894605255126955,26.845671081542967,1.078125,1.078125,1.0794202089309692,1.4765625,0.0703125, |  | ᐖ | 𐰰 | 핕, |  |  chickens |  trees |  rats,0.5462185144424438,0.8151260614395142,0.27731093764305115
3,,0.0012536827707663178,0.12596917152404785,21.01123861769835,21.015121459960938,1.078125,1.078125,1.0794202089309692,1.515625,0.0166015625, |  | ᐖ | 𐰰 | 묄, |  |  chickens |  trees |  rats,0.6764705777168274,0.7478991746902466,0.605042040348053
4,,0.025234173983335495,0.0002843228285200894,15.085325939456622,15.051560719807943,1.078125,1.078125,1.0794202089309692,1.546875,-0.0234375, |  | 𐰰 | ᐖ | 묄, |  |  chickens |  cats |  trees,0.7100840210914612,0.48739495873451233,0.9327731132507324
5,,0.0013231055345386267,0.0016624141717329621,1.32064275542895,1.2364451090494792,1.078125,1.078125,1.0794202089309692,1.5546875,-0.0380859375, |  | 𐰰 | ᐖ | 묄, |  |  chickens |  cats |  trees,0.7689075469970703,0.6638655662536621,0.8739495873451233
6,,0.11441848427057266,0.0014590825885534286,1.5579261663854898,1.525361132621765,1.078125,1.078125,1.0794202089309692,1.578125,-0.078125, |  | 𐰰 | ᐖ | 🐲, chickens |  cats |  |  |  trees,0.7352941036224365,0.6134454011917114,0.8571428656578064
7,,0.0008172988891601562,0.001260326593182981,9.713212712605793,9.749125266075135,1.078125,1.078125,1.0794202089309692,1.609375,-0.11083984375, |  | 🐲 | 𐰰 | ᐖ, cats |  chickens |  |  |  birds,0.7521008253097534,0.6386554837226868,0.8655462265014648
8,,1.6403337717056274,2.5391520921402844e-06,1.2148035051165305,1.2355554699897766,1.078125,1.078125,1.0794202089309692,1.625,-0.1376953125, |  | 🐲 | (book | 𐰰, cats |  |  |  chickens |  kittens,0.6134454011917114,0.26050421595573425,0.9663865566253662
9,,4.144490958424285e-05,0.2287156581878662,11.722440306345622,12.134173136712828,1.078125,1.078125,1.0794202089309692,1.65625,-0.1796875, |  | 🐲 | 𐰰 | ᐖ, cats |  birds |  chickens |  dogs |  trees,0.7941176295280457,0.7647058963775635,0.8235294222831726
10,,0.004406335297971964,0.0024443515576422215,10.547315658458198,10.478970043361187,1.078125,1.078125,1.0794202089309692,1.6875,-0.2177734375, |  | 🐲 | 🐉 | 𐰰, cats |  chickens |  birds |  dogs |  kittens,0.7941176295280457,0.7478991746902466,0.8403361439704895
11,,0.011047134175896645,3.7178506318014115e-05,0.8856197702387969,0.9604909107089042,1.078125,1.078125,1.0794202089309692,1.6953125,-0.2265625, |  | 🐲 | 🐉 | 鼍, cats |  chickens |  birds |  dogs |  kittens,0.743697464466095,0.5630252361297607,0.924369752407074
12,,2.491461827958119e-06,0.985214352607727,0.45136357794205345,0.3812163511912028,1.078125,1.078125,1.0794202089309692,1.703125,-0.2451171875, |  | 🐲 | 𐰰 | 鼍, cats |  birds |  chickens |  dogs |  animals,0.7689075469970703,0.7983193397521973,0.7394958138465881
13,,3.2303309126291424e-05,0.283476322889328,5.678894022107125,5.796417797731132,1.078125,1.078125,1.0794202089309692,1.734375,-0.29296875, |  | 🐲 | 鼍 | 𐰰, cats |  birds |  dogs |  chickens |  animals,0.8067227005958557,0.7394958138465881,0.8739495873451233
14,,0.00035054661566391587,0.002109692431986332,9.750311329585047,9.629357212719817,1.078125,1.078125,1.0794202089309692,1.75,-0.31640625,🐲 |  |  | 🐉 | 鼍, cats |  birds |  dogs |  chickens |  twins,0.8361344337463379,0.7478991746902466,0.924369752407074
