epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.7477922439575195,0.1854105144739151,70.29244791666666,57.39322023391723,1.453125,1.453125,1.4494974613189697,1.9375,0.109375,_door |  gates |  houses |  doors |  birds, dogs |  birds | animals |  animals |  dog,0.8739495873451233,0.8151260614395142,0.9327731132507324
2,,0.4744860529899597,0.09702517837285995,41.24020182291667,35.88134765625,1.4453125,1.453125,1.4494974613189697,1.9453125,0.09619140625,_door |  gates |  houses |  doors |  mansion, dogs |  birds | animals |  animals |  dinosaurs,0.8823529481887817,0.8067227005958557,0.9579831957817078
3,,0.021411556750535965,0.23625238239765167,22.825390625,22.670182291666666,1.453125,1.453125,1.4494974613189697,1.96875,0.080078125,_door |  gates |  houses |  doors |  mansion, dogs |  birds | animals |  animals |  pigs,0.924369752407074,0.924369752407074,0.924369752407074
