epoch,wug_proj,wugs_proj,dist
1,0.03227729722857475,0.08111008256673813,0.048832785338163376
2,0.014340370893478394,0.09566419571638107,0.08132382482290268
3,0.00040543871000409126,0.10519763827323914,0.10479220002889633
4,-0.0091012017801404,0.11231163144111633,0.12141283601522446
5,-0.02112315595149994,0.12286059558391571,0.14398375153541565
6,-0.025223728269338608,0.12619325518608093,0.15141698718070984
7,-0.035577837377786636,0.1354459822177887,0.17102381587028503
8,-0.04175499826669693,0.14114616811275482,0.18290117383003235
9,-0.046889528632164,0.14353540539741516,0.19042493402957916
10,-0.05353314056992531,0.14875030517578125,0.20228344202041626
