epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.380312497215345,1.2962526082992554,0.13554807007312775,72.1195556640625,67.04288330078126,1.4765625,1.4765625,1.4494974613189697,1.9375,0.1416015625, walls |  door | _door |  cats |  doors, trees |  [wug] |  birds |  dogs |  cows,0.8561151027679443,0.8345323801040649,0.8776978254318237
2,0.6943136303103529,0.009710220620036125,1.418567180633545,31.24931640625,30.4992431640625,1.5,1.484375,1.4494974613189697,1.953125,0.1396484375, walls |  door |  cats | _door |  doors, trees |  birds |  dogs |  [wug] |  cows,0.8741007447242737,0.8705036044120789,0.8776978254318237
3,0.8810250620891262,2.4944634437561035,0.00036633521085605025,27.396326700846355,27.23572692871094,1.484375,1.4921875,1.4494974613189697,1.953125,0.142578125, walls |  door | _door |  cats |  doors, trees |  birds |  dogs |  [wug] |  cows,0.8345323801040649,0.7482014298439026,0.9208633303642273
4,0.26638853924875244,0.004261112306267023,1.2556904554367065,11.308342997233073,10.812833658854167,1.5078125,1.4921875,1.4494974613189697,1.96875,0.1328125, door |  walls | _door |  cats | Door, trees |  dogs |  birds |  cows |  [wug],0.8741007447242737,0.8489208817481995,0.8992805480957031
5,0.9777009115902199,1.7288668155670166,0.0003700725792441517,28.004789034525555,28.07361260255178,1.4921875,1.5,1.4494974613189697,1.9765625,0.1318359375, door |  walls | _door | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8525179624557495,0.7769784331321716,0.9280575513839722
6,0.8384495319289271,1.0249180793762207,0.0020172102376818657,21.164680337905885,21.10288734436035,1.5,1.5,1.4494974613189697,1.9765625,0.130859375, door |  walls | _door | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8776978254318237,0.8201438784599304,0.935251772403717
7,0.764827404868322,1.2215098142623901,0.0006720720557495952,23.661794726053873,23.72259917259216,1.5,1.5,1.4494974613189697,1.984375,0.126953125, door |  walls | _door | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8741007447242737,0.8129496574401855,0.935251772403717
8,0.5824710749716208,0.0007431264384649694,1.2038027048110962,17.657131512959797,17.63602513472239,1.515625,1.4921875,1.4494974613189697,1.9921875,0.12255859375, door |  walls | _door | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8776978254318237,0.8633093237876892,0.8920863270759583
9,0.7677464250414763,0.00019262080604676157,1.606020212173462,21.0552214940389,21.05758736928304,1.515625,1.5,1.4494974613189697,2.0,0.11962890625, door |  walls | _door | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8776978254318237,0.8776978254318237,0.8776978254318237
10,0.7778377679831731,0.0010520071955397725,1.1030068397521973,20.898311567306518,20.93738471567631,1.515625,1.5,1.4494974613189697,2.0,0.1201171875, door |  walls | _door | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8812949657440186,0.8776978254318237,0.8848921060562134
11,1.0207619399673187,1.2552140951156616,0.000492828490678221,26.348015076915424,26.30460859934489,1.5078125,1.5078125,1.4494974613189697,2.0,0.11962890625, door | _door |  walls | Door |  Door, trees |  birds |  dogs |  cows |  rats,0.8776978254318237,0.8273381590843201,0.9280575513839722
12,0.6093447568997135,0.0018357657827436924,0.9555079340934753,16.66702963312467,16.637652524312337,1.515625,1.5,1.4494974613189697,2.015625,0.1162109375, door | _door |  walls | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8848921060562134,0.8992805480957031,0.8705036044120789
13,0.8027118466104411,0.002335949568077922,0.9054739475250244,20.95520872672399,20.95461853345235,1.515625,1.5,1.4494974613189697,2.015625,0.11572265625, door | _door |  walls | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8812949657440186,0.8920863270759583,0.8705036044120789
14,0.9707727288329655,1.2021855115890503,0.0006361240521073341,25.887426273028055,25.896999009450276,1.5078125,1.515625,1.4494974613189697,2.015625,0.11376953125, door | _door |  walls | Door |  Door, trees |  birds |  dogs |  cows |  rats,0.8848921060562134,0.8489208817481995,0.9208633303642273
15,0.562061593678239,0.003781892592087388,0.8051627278327942,15.651517352461815,15.65910725593567,1.515625,1.5078125,1.4494974613189697,2.015625,0.11279296875, door | _door |  walls | Door |  cats, trees |  birds |  dogs |  cows |  rats,0.8920863270759583,0.8848921060562134,0.8992805480957031
