epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.005523157895853,0.19458134472370148,0.7246003746986389,82.04684244791666,75.7175708492597,1.46875,1.4765625,1.4494974613189697,1.9453125,0.125, bicycle |  |  | _trees |  woman, birds |  dogs |  dog |  cows |  whales,0.5719424486160278,0.34532374143600464,0.798561155796051
2,0.8158095372273237,0.03666156902909279,0.7744007706642151,32.99036661783854,30.021638997395833,1.4765625,1.484375,1.4494974613189697,1.953125,0.126953125, bicycle |  woman |  |  |  bike, birds |  dogs |  cows |  dog |  whales,0.5755395889282227,0.30215826630592346,0.8489208817481995
3,0.18772948549534096,1.9603461027145386,0.002129744505509734,12.33347818851471,12.230135091145833,1.4765625,1.5,1.4494974613189697,1.96875,0.12060546875, bicycle |  |  |  bike |  woman, birds |  dogs |  cows |  dog |  whales,0.564748227596283,0.2517985701560974,0.8776978254318237
4,1.1202765511702941,0.0012020065914839506,1.173189640045166,34.472720575332644,34.79150263468424,1.4921875,1.484375,1.4494974613189697,1.9765625,0.11962890625, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  dog,0.6151078939437866,0.40287768840789795,0.8273381590843201
5,0.18948896163662235,1.0049164295196533,0.0038618375547230244,6.002766108512878,5.9133758544921875,1.484375,1.4921875,1.4494974613189697,1.9765625,0.1181640625, bicycle |  |  |  woman |  bike, birds |  dogs |  cows |  whales |  dog,0.597122311592102,0.3381294906139374,0.8561151027679443
6,0.9661849686225651,0.3425588309764862,0.0423557311296463,19.97301967938741,20.075725943843523,1.4921875,1.4921875,1.4494974613189697,1.984375,0.1171875, bicycle |  |  woman |  |  bike, birds |  dogs |  cows |  whales |  dog,0.6151078939437866,0.35971224308013916,0.8705036044120789
7,0.5275473897751908,0.0006561630871146917,1.5031168460845947,17.154174892107644,17.291564548015593,1.5,1.4921875,1.4494974613189697,1.9921875,0.1123046875, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  Dogs,0.6187050342559814,0.3884892165660858,0.8489208817481995
8,0.6824683930675595,1.2231608629226685,0.000675529649015516,15.854477326075235,15.785341215133666,1.4921875,1.5078125,1.4494974613189697,2.0,0.1103515625, bicycle |  |  |  woman |  bike, birds |  dogs |  cows |  whales |  cats,0.5899280309677124,0.30215826630592346,0.8776978254318237
9,0.9033603670331407,0.0012868510093539953,1.0547372102737427,26.1921951452891,26.202238158384958,1.5,1.4921875,1.4494974613189697,2.0,0.10986328125, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  Dogs,0.6438848972320557,0.42446044087409973,0.8633093237876892
10,0.18267794904825982,1.5787513256072998,0.00035774733987636864,6.258676640192667,6.257301433881124,1.5,1.5078125,1.4494974613189697,2.015625,0.10498046875, bicycle |  |  |  woman |  bike, birds |  dogs |  cows |  whales |  dog,0.6151078939437866,0.3381294906139374,0.8920863270759583
11,0.8921025781588924,1.3043732643127441,0.0005049788160249591,21.191963131229084,21.202249385913213,1.5,1.5078125,1.4494974613189697,2.015625,0.103515625, bicycle |  |  |  woman |  bike, birds |  dogs |  cows |  whales |  cats,0.6223021745681763,0.3525179922580719,0.8920863270759583
