epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.21434494853019714,1.5023897886276245,60.2224609375,44.28585611979167,1.4453125,1.4453125,1.4494974613189697,1.9140625,0.12451171875, dogs |  woman | women |  women |  cages, cats | _door |  dogs |  chairs |  Chair,0.462184876203537,0.4957983195781708,0.4285714328289032
2,,0.0415482223033905,0.7234265804290771,49.626041666666666,48.14921875,1.453125,1.453125,1.4494974613189697,1.9375,0.10791015625, dogs |  woman | women |  womens |  women, cats |  dogs | _door |  chairs | _cats,0.6260504126548767,0.42016807198524475,0.831932783126831
3,,1.0053895711898804,0.004148492589592934,31.610357666015624,28.946614583333332,1.4453125,1.453125,1.4494974613189697,1.96875,0.076171875, woman |  dogs | 貓 |  womens |  doors, cats |  dogs |  trees |  chairs | _cats,0.5924369692802429,0.23529411852359772,0.9495798349380493
4,,0.05192742496728897,0.073993019759655,22.81953125,22.816414388020835,1.453125,1.4453125,1.4494974613189697,1.984375,0.060302734375, woman |  dogs | 貓 | _door |  doors, cats |  dogs |  trees |  chairs | _cats,0.668067216873169,0.40336135029792786,0.9327731132507324
5,,0.4238066077232361,0.005695993546396494,18.826896158854165,19.049204508463543,1.4453125,1.4453125,1.4494974613189697,2.015625,0.034423828125, woman | 貓 |  dogs | _door |  womens, cats |  dogs |  rabbits |  elephants |  trees,0.651260495185852,0.3361344635486603,0.9663865566253662
6,,0.09727989137172699,0.09138243645429611,18.259480794270832,18.037864939371744,1.4453125,1.453125,1.4494974613189697,2.0625,-0.0089111328125, woman | 貓 | _door |  dog |  dogs, cats |  dogs |  rabbits |  birds |  elephants,0.7521008253097534,0.5126050710678101,0.9915966391563416
7,,0.21519728004932404,0.00167064368724823,8.432887013753255,8.34177532196045,1.4453125,1.453125,1.4494974613189697,2.078125,-0.0198974609375, woman | 貓 |  dog | _door |  dogs, cats |  dogs |  rabbits |  elephants |  birds,0.8361344337463379,0.6890756487846375,0.9831932783126831
8,,0.014731323346495628,0.14802983403205872,13.044041951497396,12.59093238512675,1.4453125,1.453125,1.4494974613189697,2.09375,-0.042724609375, woman | 貓 |  dog | _door |  door, cats |  dogs |  rabbits |  elephants |  birds,0.7394958138465881,0.48739495873451233,0.9915966391563416
9,,0.08801689743995667,0.003228499786928296,6.490979568163554,6.2406266530354815,1.453125,1.453125,1.4494974613189697,2.109375,-0.059326171875, woman | 貓 |  dog |  dragon | _door, cats |  dogs |  rabbits |  elephants |  birds,0.7773109078407288,0.5546218752861023,1.0
10,,0.0561939962208271,0.08863280713558197,7.243731435139974,7.183917236328125,1.4453125,1.453125,1.4494974613189697,2.140625,-0.08740234375, woman | 貓 |  dog |  dragon | _door, cats |  dogs |  rabbits |  elephants |  birds,0.7731092572212219,0.5462185144424438,1.0
11,,0.7573362588882446,0.00012160026381025091,9.060907729466756,9.042683410644532,1.453125,1.453125,1.4494974613189697,2.15625,-0.10546875, woman | 貓 |  dog |  dragon | _door, cats |  rabbits |  dogs |  elephants | two,0.8403361439704895,0.7058823704719543,0.9747899174690247
