epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.6395016312599182,3.177029848098755,71.51666666666667,54.75602482308944,1.453125,1.4453125,1.4494974613189697,1.9375,0.10693359375, chairs |  doors |  gates |  cats |  roads, cats |  cows |  chickens |  dogs |  birds,0.5,0.9831932783126831,0.016806723549962044
2,,0.07004819065332413,1.0208921432495117,44.0763671875,40.911067708333334,1.453125,1.4453125,1.4494974613189697,1.9375,0.1103515625, chairs |  doors |  gates |  roads |  cats, cats |  cows |  dogs |  rabbits |  chickens,0.5462185144424438,0.9579831957817078,0.13445378839969635
3,,0.13524118065834045,0.3595108091831207,26.320833333333333,25.064322916666665,1.453125,1.4453125,1.4494974613189697,1.9375,0.10498046875, chairs |  doors |  gates |  roads |  cats, cats |  cows |  rabbits |  dogs |  chickens,0.5630252361297607,0.8991596698760986,0.22689075767993927
4,,0.23611676692962646,0.08446662873029709,21.2265625,19.996614583333333,1.453125,1.4453125,1.4494974613189697,1.953125,0.0947265625, chairs |  doors |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  birds,0.5798319578170776,0.8235294222831726,0.3361344635486603
5,,0.10283312946557999,0.06850221008062363,18.039388020833332,17.877962239583333,1.453125,1.453125,1.4494974613189697,1.96875,0.0849609375, doors |  chairs |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  birds,0.605042040348053,0.8991596698760986,0.31092438101768494
6,,0.13324370980262756,0.034370385110378265,17.627734375,17.565885416666667,1.453125,1.453125,1.4494974613189697,1.9765625,0.0732421875, doors |  gates |  chairs |  roads | 貓, cats |  cows |  rabbits |  dogs |  birds,0.6302521228790283,0.8655462265014648,0.3949579894542694
7,,0.09362149238586426,0.05259494110941887,17.459228515625,17.086767578125,1.4453125,1.4453125,1.4494974613189697,1.984375,0.06201171875, doors |  gates |  chairs |  roads | 貓, cats |  cows |  rabbits |  dogs |  birds,0.6386554837226868,0.8907563090324402,0.38655462861061096
8,,0.3183952271938324,0.007243928499519825,9.464827473958334,9.337532552083333,1.453125,1.453125,1.4494974613189697,1.9921875,0.053466796875, doors |  chairs |  roads |  gates | 貓, cats |  cows |  rabbits |  dogs |  birds,0.6890756487846375,0.8571428656578064,0.5210084319114685
9,,0.04958783835172653,0.03093886747956276,10.561531575520833,10.478776041666666,1.453125,1.453125,1.4494974613189697,2.0,0.050048828125, doors |  gates |  roads |  chairs | 貓, cats |  cows |  rabbits |  dogs |  birds,0.6974790096282959,0.8739495873451233,0.5210084319114685
10,,0.017278434708714485,0.0865406021475792,9.633704630533854,9.569539388020834,1.4453125,1.4453125,1.4494974613189697,2.015625,0.039306640625, doors |  gates |  roads |  chairs | 貓, cats |  cows |  rabbits |  birds |  dogs,0.7310924530029297,0.8823529481887817,0.5798319578170776
11,,0.06516270339488983,0.01127461064606905,6.742415364583334,6.69423828125,1.453125,1.4453125,1.4494974613189697,2.015625,0.0277099609375, doors |  roads |  gates |  chairs | ᠠ, cats |  cows |  rabbits |  birds |  dogs,0.7647058963775635,0.8403361439704895,0.6890756487846375
12,,0.3018433451652527,0.0022327902261167765,9.354154459635417,9.330867513020833,1.453125,1.4453125,1.4494974613189697,2.046875,0.00994873046875, roads |  doors |  gates |  chairs | 貓, cats |  cows |  rabbits |  birds |  dogs,0.8109243512153625,0.8067227005958557,0.8151260614395142
13,,0.0669173151254654,0.008537528105080128,8.834141031901042,8.789211018880208,1.453125,1.4453125,1.4494974613189697,2.046875,0.00179290771484375, roads |  doors |  gates | ᠠ | 貓, cats |  cows |  rabbits |  birds |  dogs,0.7815126180648804,0.8067227005958557,0.756302535533905
14,,0.033485300838947296,0.01426314003765583,5.566691080729167,5.609566243489583,1.453125,1.453125,1.4494974613189697,2.0625,-0.007110595703125, roads |  gates |  doors | ᠠ | 貓, cats |  cows |  rabbits |  birds |  dogs,0.7899159789085388,0.8151260614395142,0.7647058963775635
15,,0.07614059001207352,0.00361435255035758,6.848111979166666,6.694278971354167,1.453125,1.4453125,1.4494974613189697,2.078125,-0.022705078125, roads |  doors |  gates | ᠠ | 貓, cats |  cows |  rabbits |  birds |  dogs,0.8151260614395142,0.7899159789085388,0.8403361439704895
16,,0.18995636701583862,0.00463224807754159,6.115421549479167,6.042320760091146,1.453125,1.453125,1.4494974613189697,2.078125,-0.0291748046875, roads |  doors |  gates | 貓 | ᠠ, cats |  cows |  rabbits |  birds |  twins,0.8109243512153625,0.7731092572212219,0.848739504814148
17,,0.04736694321036339,0.007037397474050522,5.2994435628255205,5.338161532084147,1.453125,1.4453125,1.4494974613189697,2.09375,-0.042724609375, roads |  gates |  doors | ᠠ | 貓, cats |  cows |  rabbits |  birds |  dogs,0.8025209903717041,0.7647058963775635,0.8403361439704895
18,,0.025873392820358276,0.01282538753002882,7.16351203918457,7.08184814453125,1.453125,1.4453125,1.4494974613189697,2.109375,-0.0517578125, roads |  doors |  gates | ᠠ | 貓, cats |  cows |  rabbits |  birds |  twins,0.8025209903717041,0.7731092572212219,0.831932783126831
19,,0.24493448436260223,0.0007844016654416919,3.2064254760742186,3.221541341145833,1.453125,1.453125,1.4494974613189697,2.125,-0.06298828125, roads |  doors |  gates | ᠠ | 貓, cats |  cows |  rabbits |  twins |  birds,0.8235294222831726,0.7310924530029297,0.9159663915634155
