epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,12.64789421475141,3.750000476837158,2.9868459701538086,60.93900853049322,61.5942219837079,1.6015625,1.6484375,1.0794202089309692,2.734375,-0.419921875, handjob |  blowjob |  sentence |  teaspoon |  word, birds |  animals |  dogs |  rocks | 孩子们,0.575630247592926,1.0,0.15126051008701324
2,10.610461713295429,18.1126766204834,8.742008361650733e-08,43.307318838437396,43.30003360857566,1.9375,2.109375,1.0794202089309692,3.65625,-0.6328125, blowjob |  handjob |  woman |  seller |  tobacco, birds |  students |  animals |  dogs |  flowers,0.6008403301239014,0.2689075767993927,0.9327731132507324
3,12.36354313290867,14.37187671661377,0.0,36.86693115234375,36.86670354207359,2.203125,2.34375,1.0794202089309692,4.1875,-0.703125, handjob |  blowjob |  woman |  teaspoon |  cup, birds |  animals |  students |  flowers |  dogs,0.6470588445663452,0.3529411852359772,0.9411764740943909
4,10.743229230244955,7.837500095367432,0.0,31.366666666675766,31.366666666666667,2.375,2.46875,1.0794202089309692,4.5,-0.734375, handjob |  blowjob |  woman |  teaspoon |  sentence, birds |  animals |  students | 孩子们 |  dogs,0.6596638560295105,0.42016807198524475,0.8991596698760986
