epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.24862618744373322,0.9405840039253235,65.81458333333333,53.746279080708824,1.4453125,1.4453125,1.4494974613189697,1.9375,0.10498046875, gates |  walls |  fence |  dog |  fences, pups | 猫咪 |  dogs |  doors |  cats,0.5395683646202087,0.9640287756919861,0.11510791629552841
2,,0.5360172986984253,0.02871735394001007,36.41433512369792,37.623828125,1.453125,1.453125,1.4494974613189697,1.953125,0.09228515625, gates |  walls |  dog |  fence |  fences, pups | 猫咪 |  dogs |  cats |  doors,0.5935251712799072,0.8201438784599304,0.36690646409988403
3,,0.014758187346160412,0.3690894842147827,33.77992350260417,33.37600911458333,1.4453125,1.453125,1.4494974613189697,1.9765625,0.06689453125, gates |  dog |  walls |  fence |  fences, pups |  cats |  dogs | 猫咪 |  doors,0.633093535900116,0.935251772403717,0.3309352397918701
4,,0.08085278421640396,0.03391829878091812,27.405615234375,28.283937581380208,1.453125,1.4453125,1.4494974613189697,2.015625,0.037353515625, gates |  dog |  walls |  fence |  fences, pups |  cats |  dogs | 猫咪 |  rabbits,0.7589927911758423,0.9064748287200928,0.6115108132362366
5,,0.026143500581383705,0.04895731806755066,7.79110107421875,7.5817138671875,1.453125,1.453125,1.4494974613189697,2.03125,0.02587890625, gates |  dog |  walls |  fence |  fences, pups |  cats |  dogs | 猫咪 |  rabbits,0.7949640154838562,0.935251772403717,0.6546762585639954
6,,0.006952678319066763,0.147484689950943,16.599263509114582,16.630745442708335,1.453125,1.4453125,1.4494974613189697,2.046875,0.005523681640625, dog |  gates |  walls |  creature |  fence, pups |  cats |  dogs |  rabbits | 猫咪,0.8525179624557495,0.9496402740478516,0.7553957104682922
7,,0.047313183546066284,0.022580880671739578,12.907568359375,13.121153767903646,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.021484375, dog |  creature |  gates |  animal |  fence, pups |  cats |  dogs |  rabbits | 猫咪,0.8453237414360046,0.8345323801040649,0.8561151027679443
8,,0.17954428493976593,0.00183233548887074,13.517606353759765,13.47256875038147,1.4453125,1.4453125,1.4494974613189697,2.09375,-0.042724609375, dog |  creature |  animal |  gates |  walls, cats |  pups |  dogs |  rabbits | 猫咪,0.8489208817481995,0.798561155796051,0.8992805480957031
9,,0.2449183166027069,0.0010761580197140574,8.464200846354167,8.315861002604167,1.453125,1.4453125,1.4494974613189697,2.125,-0.07373046875, dog |  creature |  animal |  walls |  gates, cats |  pups |  dogs |  rabbits |  trees,0.8345323801040649,0.7913669347763062,0.8776978254318237
10,,0.1270582377910614,0.006200533825904131,16.127130126953126,15.976893107096354,1.453125,1.453125,1.4494974613189697,2.15625,-0.103515625, dog |  creature |  animal | 🦎 |  walls, cats |  pups |  dogs |  rabbits |  trees,0.8705036044120789,0.8705036044120789,0.8705036044120789
11,,0.0008900952525436878,0.10592019557952881,10.318118286132812,10.260146236419677,1.453125,1.453125,1.4494974613189697,2.171875,-0.12353515625, creature |  dog |  animal | 🦎 |  lizard, cats |  pups |  dogs |  rabbits | 两只,0.8812949657440186,0.9496402740478516,0.8129496574401855
12,,0.0018579058814793825,0.05004291981458664,2.511290740966797,2.503497564792633,1.4453125,1.453125,1.4494974613189697,2.1875,-0.134765625, creature |  dog |  animal | 🦎 |  lizard, cats |  dogs |  pups |  rabbits | 两只,0.8956834673881531,0.9496402740478516,0.8417266011238098
