epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.309114237812658,0.032189734280109406,1.4299734830856323,79.51183268229167,61.84007975260417,1.4765625,1.46875,1.4494974613189697,2.015625,0.05419921875, woman |  door |  birds | door |  bird, walls |  birds |  houses |  chickens |  bird,0.8907563090324402,0.8907563090324402,0.8907563090324402
2,1.2554516389176722,0.01881653256714344,0.7389183640480042,36.570436573028566,35.14281374613444,1.4765625,1.4765625,1.4494974613189697,2.03125,0.049072265625, woman |  door | door |  birds |  Woman, chickens |  birds |  walls |  houses |  chairs,0.8865545988082886,0.8739495873451233,0.8991596698760986
3,0.8198415249341148,1.7738118171691895,0.00032499004737474024,23.310328921675683,22.500395472844442,1.484375,1.4921875,1.4494974613189697,2.0625,0.03857421875, woman |  door | door |  Woman |  bird, birds |  chickens |  walls |  houses |  chairs,0.8403361439704895,0.7142857313156128,0.9663865566253662
4,0.972323207237423,2.5657200813293457,6.467982166213915e-05,22.73826421275735,22.677191694577534,1.484375,1.5,1.4494974613189697,2.078125,0.0308837890625, woman |  door | door |  bird |  Woman, chickens |  birds |  walls |  chairs |  houses,0.7899159789085388,0.5798319578170776,1.0
5,0.9193220265379428,0.00014046925934962928,1.9241129159927368,18.538997944196066,18.49901961485545,1.5078125,1.484375,1.4494974613189697,2.09375,0.02685546875, woman |  door | door |  bird |  Woman, birds |  walls |  chickens |  chairs |  houses,0.9075630307197571,0.9411764740943909,0.8739495873451233
6,1.1466657558861053,0.00023968439199961722,1.8079485893249512,21.44179470104476,21.377932784706353,1.5078125,1.4921875,1.4494974613189697,2.09375,0.02392578125, woman |  door | door |  bird |  Woman, birds |  walls |  chickens |  chairs |  houses,0.9075630307197571,0.8991596698760986,0.9159663915634155
7,1.0935840633220626,0.0017514674691483378,1.0024558305740356,20.944830874602,20.92796393831571,1.5078125,1.4921875,1.4494974613189697,2.09375,0.023193359375, woman |  door | door |  bird |  Woman, birds |  walls |  chickens |  chairs |  houses,0.9075630307197571,0.8823529481887817,0.9327731132507324
8,0.7894301209394576,2.986485719680786,1.3557631064031739e-05,17.44242491404778,17.399310211340588,1.5,1.515625,1.4494974613189697,2.125,0.00872802734375, woman |  door | door |  Woman |  cup, birds |  walls |  chickens |  chairs |  houses,0.8235294222831726,0.6554622054100037,0.9915966391563416
9,1.1622448627351973,0.020220862701535225,0.4707120656967163,16.00011091828346,15.857755974928539,1.515625,1.5078125,1.4494974613189697,2.125,0.0130615234375, woman |  door | door |  bird |  Woman, walls |  birds |  chickens |  chairs |  ducks,0.9159663915634155,0.8991596698760986,0.9327731132507324
10,0.7881117262189453,2.727442741394043,2.224330819444731e-05,16.619393867005904,16.50927042166392,1.5078125,1.5234375,1.4494974613189697,2.140625,0.005462646484375, door |  woman | door |  Woman |  cup, birds |  walls |  chickens |  chairs |  houses,0.8571428656578064,0.7394958138465881,0.9747899174690247
11,1.6842461534496636,1.4506449699401855,0.0002228159864898771,31.096393520218164,31.08019531449924,1.515625,1.515625,1.4494974613189697,2.125,0.0079345703125, woman |  door | door |  Woman |  bird, birds |  walls |  chickens |  chairs |  houses,0.8865545988082886,0.8067227005958557,0.9663865566253662
12,0.8512355464766908,2.8464963179430924e-05,2.157421350479126,15.675119827253123,15.656929796685775,1.5234375,1.5,1.4494974613189697,2.125,0.00799560546875, woman |  door | door |  bird |  Woman, birds |  walls |  chickens |  chairs |  ducks,0.9033613204956055,0.9411764740943909,0.8655462265014648
13,0.9751501487130355,1.551697850227356,9.787571616470814e-05,16.17949789967388,16.171028836956246,1.515625,1.5234375,1.4494974613189697,2.15625,0.00010967254638671875, woman |  door | door |  bird |  Woman, birds |  walls |  chickens |  chairs |  ducks,0.848739504814148,0.7058823704719543,0.9915966391563416
14,1.3222072148899733,3.566161831258796e-05,2.526479482650757,25.876367312980197,25.85176453796836,1.53125,1.5078125,1.4494974613189697,2.140625,0.00121307373046875, woman |  door | door |  bird |  Woman, birds |  walls |  chickens |  chairs |  ducks,0.9201680421829224,0.9159663915634155,0.924369752407074
