epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.5273162126541138,0.028941204771399498,60.80885416666667,53.43675603866577,1.453125,1.4453125,1.4494974613189697,2.03125,0.0247802734375, coolest | 牆 |  walls |  beast |  woman, dogs |  trees | trees |  bushes |  cats,0.5336134433746338,0.10924369841814041,0.9579831957817078
2,,0.004242745693773031,0.3568524420261383,34.09361775716146,34.204214652379356,1.453125,1.453125,1.4494974613189697,2.15625,-0.10009765625, coolest |  creature |  beast | 牆 |  walls, dogs | 两只 |  trees | trees |  cats,0.680672287940979,0.4453781545162201,0.9159663915634155
3,,3.523096799850464,0.9817453622817993,12.245062891642252,12.541028066476185,1.4453125,1.453125,1.4494974613189697,2.28125,-0.2333984375, creature |  coolest | creature |  beast | .rabbit, trees | 两只 | trees |  dogs |  twins,0.5672268867492676,0.13445378839969635,1.0
4,,0.03224863484501839,0.0017182554583996534,32.950005661493684,31.495266328763016,1.453125,1.453125,1.4494974613189697,2.34375,-0.30078125, creature |  coolest | creature |  Creature |  beast,两只 |  dogs |  cats |  twins |  trees,0.6638655662536621,0.3529411852359772,0.9747899174690247
5,,1.1391651630401611,0.34146440029144287,11.198664045333862,11.050843887527783,1.453125,1.453125,1.4494974613189697,2.421875,-0.38671875, creature |  coolest | creature |  Creature |  monster,两只 |  twins |  trees | 两家 |  двух,0.6974790096282959,0.42016807198524475,0.9747899174690247
