epoch,wug_proj,wugs_proj,dist
1,-0.028406888246536255,0.09393338859081268,0.12234027683734894
2,-0.04500715062022209,0.10564231127500534,0.15064945816993713
3,-0.052354566752910614,0.11370783299207687,0.1660623997449875
4,-0.05676255375146866,0.11747734993696213,0.1742399036884308
5,-0.05728458613157272,0.11840306222438812,0.17568764090538025
6,-0.07414325326681137,0.13550394773483276,0.20964720845222473
7,-0.07561033219099045,0.13680347800254822,0.21241381764411926
8,-0.07454288750886917,0.1360945999622345,0.21063748002052307
9,-0.0732131153345108,0.13455858826637268,0.20777170360088348
10,-0.07436920702457428,0.1362769901752472,0.21064619719982147
11,-0.074178546667099,0.13648627698421478,0.21066482365131378
12,-0.07591484487056732,0.13880744576454163,0.21472229063510895
