epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.9595613330951895,1.956333041191101,0.004350270144641399,76.18853883743286,65.841339524587,1.484375,1.4765625,1.4494974613189697,1.90625,0.1669921875, [wugs] |  chair |  dogs |  book |  dog, [wug] |  dogs |  chair |  birds |  chairs,0.8025209903717041,0.605042040348053,1.0
2,0.6686603879956844,0.0023112220223993063,2.137267589569092,29.651028442382813,21.854491170247396,1.5078125,1.4765625,1.4494974613189697,1.9296875,0.1611328125, [wugs] |  dog |  chair |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9327731132507324,0.8991596698760986,0.9663865566253662
3,1.151221096787079,1.1661523580551147,0.001428011804819107,31.634035166104635,31.36185204188029,1.5,1.4921875,1.4494974613189697,1.9375,0.158203125, [wugs] |  dog |  chair |  book |  dogs, birds |  dogs |  [wug] |  chair |  cats,0.9033613204956055,0.8151260614395142,0.9915966391563416
4,1.032599033429536,0.914890468120575,0.002289361087605357,26.072432816028595,25.797874029477438,1.5,1.5,1.4494974613189697,1.953125,0.150390625, [wugs] |  dog |  chair |  book |  house, birds |  dogs |  chairs |  cats |  chair,0.9201680421829224,0.848739504814148,0.9915966391563416
5,0.6704056545992254,7.694558735238388e-05,2.484607219696045,17.2324098110199,16.945964193344118,1.5234375,1.484375,1.4494974613189697,1.96875,0.142578125, dog |  [wugs] |  chair |  book |  house, birds |  dogs |  chairs |  chair |  trees,0.9285714030265808,0.9747899174690247,0.8823529481887817
6,1.4933086016761838,0.0003265165432821959,1.5016051530838013,31.519102382659913,31.507636857032775,1.515625,1.4921875,1.4494974613189697,1.96875,0.142578125, dog |  [wugs] |  chair |  book |  house, birds |  dogs |  chairs |  cats |  chair,0.9369747638702393,0.9159663915634155,0.9579831957817078
7,1.2761913279578796,0.008126565255224705,0.6580812931060791,31.0504700978597,31.034935569763185,1.515625,1.4921875,1.4494974613189697,1.96875,0.1435546875, [wugs] |  dog |  chair |  book |  house, birds |  dogs |  chairs |  cats |  trees,0.9453781247138977,0.8991596698760986,0.9915966391563416
8,0.776358538737865,1.2516350746154785,0.0006331838085316122,17.86913368999958,17.758106740315757,1.515625,1.5078125,1.4494974613189697,1.984375,0.1376953125, dog |  chair |  [wugs] |  book |  house, birds |  dogs |  chairs |  trees |  cats,0.924369752407074,0.8571428656578064,0.9915966391563416
9,1.1480766084835967,5.53256286366377e-05,2.1644387245178223,26.2297732313474,26.217208810647328,1.53125,1.4921875,1.4494974613189697,1.9921875,0.1337890625, dog |  chair |  book |  [wugs] |  house, birds |  dogs |  chairs |  trees |  cats,0.924369752407074,0.9831932783126831,0.8655462265014648
10,1.1356077307433168,0.00043934566201642156,1.302453637123108,20.98513445854187,20.989867079257966,1.5234375,1.5,1.4494974613189697,1.984375,0.1337890625, dog |  chair |  book |  [wugs] |  house, birds |  dogs |  chairs |  trees |  cats,0.9411764740943909,0.9495798349380493,0.9327731132507324
11,0.879293931399809,0.00010113352618645877,1.9517282247543335,21.11720107247432,21.07181197007497,1.53125,1.5,1.4494974613189697,1.9921875,0.130859375, dog |  chair |  book |  house |  [wugs], birds |  dogs |  chairs |  cats |  trees,0.9537814855575562,0.9663865566253662,0.9411764740943909
