epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,6.0869975090026855,0.0002000217791646719,52.83222667872906,63.9951904296875,1.078125,1.078125,1.0794202089309692,1.421875,0.1318359375, |  | 	tree | 樹 | �, |  |  cows |  trees |  babies,0.5042017102241516,0.008403361774981022,1.0
2,,0.0316813662648201,0.6657482385635376,32.19618428548177,31.161767578125,1.078125,1.078125,1.0794202089309692,1.4609375,0.0849609375, |  | creature | 	tree | �, |  |  cows |  trees |  babies,0.5882353186607361,0.47058823704719543,0.7058823704719543
3,,0.1558118760585785,0.003991756122559309,28.053092447916665,27.83928337097168,1.0859375,1.078125,1.0794202089309692,1.5,0.03515625, |  | creature | 	tree | _gem, |  |  cows |  trees |  babies,0.5588235259056091,0.13445378839969635,0.9831932783126831
4,,0.012748539447784424,0.003266099374741316,10.59117472966512,9.907463693618775,1.078125,1.078125,1.0794202089309692,1.515625,0.01336669921875, |  | creature | 	tree | _gem, |  |  cows |  trees | birds,0.5630252361297607,0.15126051008701324,0.9747899174690247
5,,1.5900222063064575,1.3732669685850851e-05,2.6816788745423157,2.738307285805543,1.078125,1.078125,1.0794202089309692,1.5234375,-0.004608154296875, |  | 	tree | creature | _gem, |  |  cows | birds |  trees,0.5,0.0,1.0
6,,0.05163928121328354,0.00021823006682097912,3.576676684617996,3.48533213591824,1.078125,1.078125,1.0794202089309692,1.5546875,-0.0380859375, |  | creature | _gem | 	tree, |  | birds |  cows |  trees,0.5462185144424438,0.10084033757448196,0.9915966391563416
7,,0.0008074733195826411,0.41584473848342896,7.272987111409505,7.201244006181756,1.078125,1.078125,1.0794202089309692,1.5859375,-0.08349609375, |  | creature | _gem | 	tree,birds |  cows |  |  |  birds,0.7478991746902466,0.529411792755127,0.9663865566253662
8,,2.723414897918701,4.4107395069659106e-07,5.643819745381673,5.686524470647176,1.078125,1.078125,1.0794202089309692,1.59375,-0.095703125,creature |  |  | 	tree | _gem, |  |  cows |  babies | birds,0.5084033608436584,0.016806723549962044,1.0
9,,0.0007648687460459769,0.0022095022723078728,7.271706708272299,7.258267433444659,1.078125,1.078125,1.0794202089309692,1.6171875,-0.12060546875,creature |  |  | _gem | 	tree, cows | birds |  birds |  babies |  rats,0.7899159789085388,0.6302521228790283,0.9495798349380493
10,,0.00610470911487937,0.0005436320789158344,0.2375817835330963,0.24494368716453513,1.078125,1.078125,1.0794202089309692,1.6171875,-0.12255859375,creature |  |  | _gem | 	tree, cows | birds |  birds |  babies |  rats,0.7521008253097534,0.5210084319114685,0.9831932783126831
11,,0.2927045524120331,7.092877694958588e-06,1.7852202225243672,1.7267188946406047,1.078125,1.078125,1.0794202089309692,1.6484375,-0.1669921875,creature | _gem |  | 	tree | , cows |  |  | birds |  birds,0.6092436909675598,0.24369747936725616,0.9747899174690247
12,,0.0008083926513791084,0.04052986577153206,8.171138302485149,8.31230133183805,1.078125,1.078125,1.0794202089309692,1.6875,-0.21875,creature |  | _gem |  | 	tree,birds |  cows |  birds |  mice |  twins,0.7941176295280457,0.6134454011917114,0.9747899174690247
13,,0.0002725590602494776,0.002149919979274273,7.656993548299457,7.788383585069096,1.078125,1.078125,1.0794202089309692,1.703125,-0.25,creature |  |  | _gem | 很多事情, birds |  twins | birds |  cows | 两只,0.8277310729026794,0.7058823704719543,0.9495798349380493
14,,0.00025326962349936366,0.0004369666858110577,0.03234203656514486,0.06375865646993285,1.078125,1.078125,1.0794202089309692,1.7109375,-0.251953125,creature |  | _gem |  | 很多事情, birds |  twins | 两只 | birds |  cows,0.831932783126831,0.6890756487846375,0.9747899174690247
15,,6.556386324518826e-06,0.23818719387054443,0.07712417046229045,0.06790166244221231,1.078125,1.078125,1.0794202089309692,1.7109375,-0.259765625,creature |  |  | _gem | 具有战士, birds |  twins | 两只 | birds |  cows,0.8361344337463379,0.8235294222831726,0.848739504814148
16,,0.002752157859504223,0.0009148359531536698,7.088132499406735,7.091569286278294,1.078125,1.078125,1.0794202089309692,1.75,-0.30859375,creature | _gem | 很多事情 |  dragon | , birds | 两只 |  twins | birds |  deux,0.7689075469970703,0.5882353186607361,0.9495798349380493
17,,0.00017414739704690874,0.00255127577111125,0.2357805715718617,0.18661771431410065,1.078125,1.078125,1.0794202089309692,1.75,-0.314453125,creature | _gem | 很多事情 |  dragon | , birds | 两只 |  twins | birds |  deux,0.8025209903717041,0.6890756487846375,0.9159663915634155
18,,7.592688052682206e-05,0.00010423285129945725,0.04963366035372019,0.03937085891763369,1.078125,1.078125,1.0794202089309692,1.75,-0.31640625,creature | _gem |  dragon | 很多事情 | , twins | 两只 |  birds |  deux | birds,0.7899159789085388,0.6974790096282959,0.8823529481887817
19,,0.00012236638576723635,1.9204140699002892e-05,0.010289571682612101,0.007013353185417751,1.078125,1.078125,1.0794202089309692,1.75,-0.31640625,creature | _gem |  dragon | 很多事情 | ,两只 |  twins |  birds |  deux | birds,0.7731092572212219,0.7058823704719543,0.8403361439704895
20,,1.3470611293087131e-06,0.06701905280351639,5.869733890064526,5.86915200878866,1.078125,1.078125,1.0794202089309692,1.78125,-0.36328125,creature |  dragon | 具有战士 |  creature | , twins | 两只 |  birds |  deux | 两家,0.8445377945899963,0.8739495873451233,0.8151260614395142
