epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.5883897434127,0.002715119393542409,2.113558530807495,85.34996541341145,66.81680732071399,1.125,1.125,1.0794202089309692,1.4453125,0.173828125, [wugs] |  |  | ﯡ | 𝘌, doors |  |  |  cats |  dogs,0.8991596698760986,0.8739495873451233,0.924369752407074
2,1.3605694148311271,0.00031173130264505744,2.756258964538574,32.24477774302165,27.890469481547672,1.1328125,1.140625,1.0794202089309692,1.46875,0.166015625, [wugs] |  |  | 这条路 | ﯡ, doors |  |  cats |  |  dogs,0.9159663915634155,0.9327731132507324,0.8991596698760986
3,1.4826347013292855,1.0511469841003418,0.0012592527782544494,30.76723622456193,29.74999136875073,1.1328125,1.1640625,1.0794202089309692,1.5,0.1494140625, |  |  [wugs] | ﯡ | 这条路, doors |  cats |  dogs |  dolphins |  frogs,0.8907563090324402,0.8235294222831726,0.9579831957817078
4,1.7942343708790192,4.594786514644511e-05,1.9000401496887207,35.98703221678734,35.98506198339213,1.140625,1.1640625,1.0794202089309692,1.515625,0.1396484375, |  | 这条路 | ﯡ | 𝘌, doors |  cats |  dogs |  dolphins |  frogs,0.9369747638702393,0.9747899174690247,0.8991596698760986
