epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.043249160051345825,0.552897036075592,56.29285428871711,68.29239908854167,1.078125,1.078125,1.0794202089309692,1.4453125,0.0986328125, |  | ﲒ | ﲁ | ﱔ, chairs |  |  |  cats |  rats,0.7478991746902466,0.9579831957817078,0.5378151535987854
2,,1.9267441034317017,8.383060048799962e-05,35.59296875,34.603662109375,1.078125,1.078125,1.0794202089309692,1.484375,0.05517578125, |  | ﲒ | ﲁ | 툇, cats |  |  |  dogs |  chairs,0.7352941036224365,0.4789915978908539,0.9915966391563416
3,,0.03222571685910225,0.012572715990245342,16.91060744126638,16.93168462117513,1.078125,1.078125,1.0794202089309692,1.515625,0.015380859375, |  | ﲒ | ﲁ | 툇, cats |  rabbits |  dogs |  chairs |  rats,0.8739495873451233,0.831932783126831,0.9159663915634155
4,,0.008274138905107975,0.01073232851922512,1.8936402956644693,1.654180908203125,1.078125,1.078125,1.0794202089309692,1.515625,0.009033203125, |  | ﲒ | ﲁ | 툇, cats |  dogs |  rabbits |  rats |  chairs,0.8907563090324402,0.8655462265014648,0.9159663915634155
