epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,8.032010348637899,1.8006706237792969,4.389172077178955,75.67637939453125,80.73690485016753,1.46875,1.46875,1.4494974613189697,1.9296875,0.1328125, chair | -chair |  chairs |  Chair |  puppy, dogs |  ducks |  cats |  birds |  [wug],0.5035971403121948,0.9424460530281067,0.06474819779396057
2,2.056521052122116,0.2998442053794861,0.5894871354103088,68.03236490885416,72.46503499348958,1.4765625,1.484375,1.4494974613189697,1.9453125,0.1376953125, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  [wug],0.7122302055358887,0.6906474828720093,0.7338129281997681
3,0.3439053396771972,0.6692235469818115,0.04122764244675636,18.146708170572918,24.211651102701822,1.484375,1.4921875,1.4494974613189697,1.953125,0.1396484375, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.730215847492218,0.5827338099479675,0.8776978254318237
4,0.6115722946667422,0.7730177044868469,0.010863819159567356,22.843209536870322,24.653743489583334,1.4921875,1.5,1.4494974613189697,1.9609375,0.138671875, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  children,0.7374100685119629,0.5755395889282227,0.8992805480957031
5,0.6537697906562243,0.4764256477355957,0.025514686480164528,22.28257019519806,22.942747497558592,1.4921875,1.5,1.4494974613189697,1.9609375,0.138671875, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.8237410187721252,0.7266187071800232,0.9208633303642273
6,0.41766954365351316,0.001368449768051505,1.2245641946792603,17.17304497162501,17.285986328125,1.5,1.4921875,1.4494974613189697,1.96875,0.13671875, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.9064748287200928,0.9064748287200928,0.9064748287200928
7,0.17555341024567497,1.0587146282196045,0.002402090933173895,7.2199639240900675,7.3745985666910805,1.4921875,1.5,1.4494974613189697,1.9765625,0.134765625, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.8345323801040649,0.7194244861602783,0.9496402740478516
8,0.4990479686231993,0.00048482714919373393,1.3638005256652832,16.238880993922553,16.271244303385416,1.5078125,1.4921875,1.4494974613189697,1.9765625,0.1328125, chair | -chair |  puppy |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.9100719690322876,0.935251772403717,0.8848921060562134
9,0.7336711857451709,0.9095135927200317,0.002878112019971013,25.83499356806278,26.086750984191895,1.5,1.5078125,1.4494974613189697,1.9765625,0.130859375, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.8165467381477356,0.6834532618522644,0.9496402740478516
10,0.4230402115598129,0.0033021208364516497,0.8566256761550903,15.553595477342606,15.520220438639322,1.5078125,1.5,1.4494974613189697,1.984375,0.1298828125, chair | -chair |  puppy |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.902877688407898,0.8992805480957031,0.9064748287200928
11,0.5998723449968945,0.0031995591707527637,0.8571373224258423,21.132010615368685,21.156601333618163,1.5078125,1.5,1.4494974613189697,1.984375,0.12890625, chair | -chair |  puppy |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.9100719690322876,0.9136690497398376,0.9064748287200928
12,0.31412964128758175,0.0016159315127879381,1.0060392618179321,10.927086480458577,10.998193232218425,1.5078125,1.5,1.4494974613189697,1.984375,0.1279296875, chair | -chair |  puppy |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.9136690497398376,0.9280575513839722,0.8992805480957031
13,0.4878309910396562,0.8061719536781311,0.004344803746789694,15.834419237325589,15.837660853068034,1.5078125,1.5078125,1.4494974613189697,1.9921875,0.126953125, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.8633093237876892,0.7841726541519165,0.9424460530281067
14,0.43889140969940854,0.0010158608201891184,1.1050945520401,15.89800112048785,15.969222863515219,1.515625,1.5,1.4494974613189697,1.9921875,0.125, chair | -chair |  puppy |  Chair |  kitten, dogs |  ducks |  cats |  birds |  children,0.9136690497398376,0.9424460530281067,0.8848921060562134
15,0.7667157364509497,0.42660215497016907,0.02626064047217369,25.182377137740453,25.181596088409425,1.5078125,1.5078125,1.4494974613189697,1.9921875,0.125, chair | -chair |  puppy |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.8884891867637634,0.8417266011238098,0.935251772403717
16,0.40912068603308094,0.0015080221928656101,1.0060044527053833,14.912879704435666,14.923068237304687,1.515625,1.5,1.4494974613189697,2.0,0.12353515625, chair | -chair |  puppy |  Chair |  kitten, dogs |  ducks |  cats |  birds |  children,0.9172661900520325,0.9496402740478516,0.8848921060562134
