epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,13.64819479732768,22.9375,0.36694130301475525,67.80641150521114,56.0293506046157,2.0625,2.109375,1.0794202089309692,3.703125,-0.58203125, handjob |  thing |  teaspoon |  tablespoon |  blowjob, animals |  çocuklar | 孩子们 |  birds |  dogs,0.6386554837226868,0.29411765933036804,0.9831932783126831
2,12.832039811710517,27.108335494995117,0.0,36.84062500654518,36.842708333333334,2.578125,2.671875,1.0794202089309692,4.90625,-0.73828125, handjob |  depends |  blowjob |  thing | ’s, birds |  flowers |  çocuklar |  chickens | children,0.6344537734985352,0.2857142984867096,0.9831932783126831
3,16.00828392505178,25.650165557861328,0.0,48.93343089609053,48.93343296051025,3.078125,3.1875,1.0794202089309692,5.96875,-0.81640625, handjob |  blowjob |  teaspoon |  woman |  tablespoon, flowers |  birds |  animals |  students |  dogs,0.6428571343421936,0.29411765933036804,0.9915966391563416
4,15.142187503973643,15.865625381469727,0.0,31.3666672110563,31.366667409737904,3.328125,3.359375,1.0794202089309692,6.40625,-0.8359375, handjob |  blowjob |  teaspoon |  tablespoon |  cup, birds |  flowers | 孩子们 |  students |  dogs,0.6638655662536621,0.3529411852359772,0.9747899174690247
5,16.485416666666666,16.8046875,0.0,30.93333333333335,30.933333333333334,3.453125,3.546875,1.0794202089309692,6.75,-0.85546875, handjob |  blowjob |  teaspoon |  woman |  tablespoon, birds |  students |  flowers |  dogs |  stones,0.651260495185852,0.38655462861061096,0.9159663915634155
6,8.936718761920927,25.575000762939453,0.0,12.66666874885559,12.666668812433878,3.484375,3.59375,1.0794202089309692,6.8125,-0.85546875, handjob |  blowjob |  teaspoon |  woman |  tablespoon, birds |  students |  flowers |  dogs |  stones,0.6386554837226868,0.3193277418613434,0.9579831957817078
7,17.304166666666667,21.8125,0.0,25.333333333333332,25.333333333333332,3.46875,3.578125,1.0794202089309692,6.78125,-0.85546875, handjob |  blowjob |  teaspoon |  woman |  tablespoon, birds |  students |  flowers |  dogs |  stones,0.6386554837226868,0.3361344635486603,0.9411764740943909
8,18.537506782318328,7.775000095367432,0.0,25.334554036458332,25.334554036458332,3.453125,3.53125,1.0794202089309692,6.71875,-0.8515625, handjob |  blowjob |  teaspoon |  woman |  puppy, birds |  students |  flowers |  stones |  dogs,0.680672287940979,0.5378151535987854,0.8235294222831726
