epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.2698119260370735,3.757235288619995,0.0008904704009182751,79.15909016927084,70.75873998006185,1.46875,1.4921875,1.4494974613189697,1.953125,0.1337890625, dogs |  dog |  [wugs] |  whale | 貓, roads |  rabbits |  sheep |  walls |  dogs,0.5042017102241516,0.008403361774981022,1.0
2,1.406753957811937,0.68280428647995,0.028957368806004524,45.908225504557294,45.24413235982259,1.484375,1.4921875,1.4494974613189697,1.96875,0.1279296875, dog |  dogs |  whale | 貓 |  haunted, roads |  rabbits |  sheep |  walls |  люди,0.651260495185852,0.3193277418613434,0.9831932783126831
3,1.219772519055914,2.7012741565704346,0.0013743476010859013,31.013259251912434,31.08474524815877,1.4921875,1.5078125,1.4494974613189697,1.9921875,0.1171875, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  sheep |  walls |  animals,0.6638655662536621,0.3361344635486603,0.9915966391563416
4,1.0406623850938255,0.010727519169449806,0.66431725025177,18.03089294433594,18.139755799372992,1.5,1.5,1.4494974613189697,1.9921875,0.11669921875, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  sheep |  walls |  люди,0.7226890921592712,0.45378151535987854,0.9915966391563416
5,1.1678714294641357,3.004729747772217,5.129345663590357e-05,26.621181388696034,26.509042700131733,1.4921875,1.515625,1.4494974613189697,2.015625,0.10986328125, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  sheep |  walls |  animals,0.5840336084365845,0.16806723177433014,1.0
6,1.3266360899862812,0.0007180577958934009,1.3010238409042358,34.45757803320885,34.195611491054294,1.515625,1.5078125,1.4494974613189697,2.03125,0.10107421875, dog |  dogs |  whale | 貓 |  haunted, roads |  rabbits |  walls |  люди |  sheep,0.756302535533905,0.529411792755127,0.9831932783126831
7,1.0114485290257504,0.0001458309852750972,1.5063961744308472,23.829522820313773,23.67901313478748,1.53125,1.5078125,1.4494974613189697,2.046875,0.091796875, dog |  dogs |  whale | 貓 |  haunted, roads |  rabbits |  walls |  люди |  animals,0.8613445162773132,0.7815126180648804,0.9411764740943909
8,1.6466405898007375,0.009785075671970844,0.6121543049812317,30.78483303785324,30.81838536510865,1.53125,1.515625,1.4494974613189697,2.046875,0.0888671875, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  walls |  animals |  люди,0.8361344337463379,0.7310924530029297,0.9411764740943909
9,0.5836720224555418,0.0005400317604653537,1.2031420469284058,10.653316503763198,10.685629830261071,1.53125,1.515625,1.4494974613189697,2.0625,0.08740234375, dog |  dogs |  whale | 貓 |  haunted, roads |  rabbits |  walls |  animals |  люди,0.8571428656578064,0.7731092572212219,0.9411764740943909
10,1.2247048105398715,0.00021460192510858178,1.402750015258789,21.028852294633786,21.006830686827502,1.53125,1.515625,1.4494974613189697,2.0625,0.08642578125, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  walls |  animals |  люди,0.8529411554336548,0.7647058963775635,0.9411764740943909
11,0.6749499009005717,0.00012777654046658427,1.5040497779846191,10.933113192146022,10.900576169416308,1.5390625,1.5234375,1.4494974613189697,2.078125,0.07861328125, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  walls |  animals |  люди,0.8739495873451233,0.8067227005958557,0.9411764740943909
12,0.8601649161223804,2.351030111312866,4.741211887449026e-05,15.736275780946016,15.772433889036376,1.53125,1.5390625,1.4494974613189697,2.09375,0.07373046875, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  animals |  walls |  dogs,0.7394958138465881,0.48739495873451233,0.9915966391563416
13,1.4672566681116372,2.9499207812477835e-05,1.8789513111114502,25.8379951129357,25.819334026177724,1.546875,1.5234375,1.4494974613189697,2.078125,0.076171875, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  animals |  walls |  люди,0.8781512379646301,0.8151260614395142,0.9411764740943909
14,0.4908707095123776,7.446420113410568e-06,3.0559372901916504,10.793936534722645,10.851894450684389,1.5546875,1.5234375,1.4494974613189697,2.09375,0.0703125, dog |  dogs |  whale | 貓 |  haunted, rabbits |  roads |  люди |  animals |  walls,0.8823529481887817,0.831932783126831,0.9327731132507324
