epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.9532548533567025,7.026854991912842,6.414981180569157e-05,81.85367151896159,60.24205077489217,1.09375,1.140625,1.0794202089309692,1.5,0.10400390625, |  cats |  | 𝘸 |  gates, dogs |  |  |  cats |  rooms,0.6638655662536621,0.32773110270500183,1.0
2,2.0394964566199554,0.0006754977512173355,2.2065279483795166,39.95044792741537,39.03711526294549,1.1171875,1.125,1.0794202089309692,1.5,0.1015625, cats |  |  | 𝘸 |  dogs, dogs |  |  |  cats | ﱐ,0.9285714030265808,0.9663865566253662,0.8907563090324402
3,1.1664734038953855,3.718430995941162,6.139167089713737e-05,29.671063766081353,28.730561393499375,1.125,1.1484375,1.0794202089309692,1.5390625,0.0810546875, |  | 𝘸 |  puppy |  door, dogs |  cats |  |  |  rooms,0.8235294222831726,0.6470588445663452,1.0
4,0.8759134379672834,0.0004195081128273159,1.300391674041748,21.53316496995588,21.559294515972336,1.1328125,1.1484375,1.0794202089309692,1.5625,0.064453125, puppy |  |  | 𝘸 |  door, dogs |  cats |  |  |  dolphins,0.9201680421829224,0.9831932783126831,0.8571428656578064
5,1.1649973004148078,0.9033480286598206,0.002217464381828904,13.119863071044286,13.114040817817052,1.1328125,1.15625,1.0794202089309692,1.5625,0.06396484375, puppy |  |  | 𝘸 |  door, dogs |  cats |  |  |  dolphins,0.9579831957817078,0.9579831957817078,0.9579831957817078
