epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.886119542332987,1.2360461950302124,0.0037562272045761347,66.31847639083863,66.79340594125291,1.484375,1.5,1.4494974613189697,1.9296875,0.158203125, dog |  [wugs] |  dogs |  bird |  birds, cats |  girls |  [wug] |  gates |  kittens,0.831932783126831,0.6722689270973206,0.9915966391563416
2,0.9751251499505997,1.0404547452926636,0.0020644506439566612,28.880092684427897,28.789608995119732,1.484375,1.5078125,1.4494974613189697,1.9609375,0.1484375, dog |  bird |  [wugs] |  dogs |  Dog, cats |  girls |  kittens |  gates |  [wug],0.8907563090324402,0.7899159789085388,0.9915966391563416
3,1.2432436738004375,0.0005464229616336524,1.8033840656280518,28.006854248046874,27.861170988033216,1.5,1.5,1.4494974613189697,1.96875,0.1435546875, dog |  bird |  dogs |  [wugs] |  rabbit, cats |  girls |  kittens |  gates |  fences,0.924369752407074,0.9411764740943909,0.9075630307197571
4,0.8216899738370255,0.9033840298652649,0.0037484148051589727,19.822349241375925,19.75949476559957,1.5,1.515625,1.4494974613189697,1.9765625,0.1376953125, dog |  bird |  dogs |  [wugs] |  rabbit, cats |  girls |  kittens |  gates |  fences,0.9285714030265808,0.924369752407074,0.9327731132507324
5,0.813148572422593,0.0001904484670376405,2.3521499633789062,17.205796634157497,17.291121006011963,1.515625,1.515625,1.4494974613189697,1.9921875,0.12890625, dog |  bird |  dogs |  rabbit |  Dog, cats |  girls |  kittens |  gates |  women,0.9075630307197571,0.9747899174690247,0.8403361439704895
6,1.1974435695538166,0.00010803600162034854,2.052812099456787,21.421617461244264,21.30471229950587,1.515625,1.515625,1.4494974613189697,2.0,0.126953125, dog |  bird |  dogs |  rabbit |  Dog, cats |  girls |  kittens |  gates |  women,0.8907563090324402,0.9747899174690247,0.8067227005958557
7,1.354665488682349,1.3037012815475464,0.00036118592834100127,25.808883859713873,25.81044836640358,1.5,1.53125,1.4494974613189697,2.0,0.126953125, dog |  bird |  dogs |  rabbit |  Dog, cats |  girls |  kittens |  gates |  kids,0.9411764740943909,0.9159663915634155,0.9663865566253662
