epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.570830225944519,1.1357181072235107,66.34969889322916,57.3488655090332,1.4453125,1.453125,1.4494974613189697,1.953125,0.0927734375, dogs |  doors |  door |  Door | _word, chickens |  cats |  dogs |  birds |  infants,0.819327712059021,0.8823529481887817,0.756302535533905
2,,2.033302068710327,0.02295679785311222,42.9296875,40.17213541666667,1.453125,1.4453125,1.4494974613189697,1.9609375,0.087890625, doors |  dogs |  Door |  door |  dog, chickens |  cats |  dogs |  birds |  rabbits,0.7689075469970703,0.605042040348053,0.9327731132507324
3,,0.3377537131309509,0.2473972737789154,29.8203125,27.617708333333333,1.453125,1.4453125,1.4494974613189697,1.9765625,0.0712890625, dogs |  doors |  dog |  Dog | _word, chickens |  cats |  dogs |  birds |  rabbits,0.831932783126831,0.756302535533905,0.9075630307197571
4,,0.043313756585121155,0.4258623719215393,19.794059244791665,20.166569010416666,1.453125,1.4453125,1.4494974613189697,1.984375,0.0615234375, doors |  dogs |  dog |  Door |  Dog, cats |  chickens |  dogs |  birds |  rabbits,0.7899159789085388,0.756302535533905,0.8235294222831726
5,,0.04198673367500305,0.08811388909816742,17.31032511393229,16.74641342163086,1.4453125,1.453125,1.4494974613189697,2.0,0.04248046875, doors |  dogs |  dog |  Dog |  Door, cats |  chickens |  dogs |  birds |  rabbits,0.8361344337463379,0.7731092572212219,0.8991596698760986
