epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.9335384541656824,0.3289465606212616,0.11977573484182358,64.54441439310709,57.14196000099182,1.484375,1.484375,1.4494974613189697,1.9453125,0.1474609375, dogs |  dog |  [wugs] |  Dogs |  door, walls |  [wug] |  cats |  gates |  birds,0.6079136729240417,0.34532374143600464,0.8705036044120789
2,1.2972590868582605,1.2089250087738037,0.0017768793040886521,36.896277618408206,36.28103235537807,1.484375,1.5,1.4494974613189697,1.9609375,0.1396484375, dogs |  dog |  Dogs |  [wugs] |  Dog, walls |  cats |  gates |  birds |  [wug],0.5539568066596985,0.2158273309469223,0.8920863270759583
3,0.5660806482789894,2.2951924800872803,0.0001019832634483464,12.451117845376332,12.362958969175816,1.484375,1.5078125,1.4494974613189697,1.96875,0.1357421875, dogs |  dog |  Dogs |  Dog | DOG, walls |  cats |  birds |  gates |  pigs,0.528777003288269,0.158273383975029,0.8992805480957031
4,0.8283712581397594,0.0010691344505175948,2.00246262550354,17.036756070454917,16.885643354058267,1.5078125,1.4921875,1.4494974613189697,1.9765625,0.1328125, dogs |  dog |  door |  woman | DOG, walls |  cats |  gates |  birds |  pigs,0.7374100685119629,0.5611510872840881,0.9136690497398376
5,1.0023903564967744,1.3036404848098755,0.0006144289509393275,20.98246115744114,20.889375527699787,1.5,1.515625,1.4494974613189697,1.9921875,0.125, dogs |  dog | DOG |  door |  Dog, walls |  cats |  birds |  gates |  pigs,0.7158273458480835,0.5035971403121948,0.9280575513839722
6,1.3223004337549393,0.00016166480781976134,1.756273865699768,24.362270228068034,24.23459669808702,1.515625,1.5,1.4494974613189697,1.9921875,0.12451171875, dogs |  dog |  door | DOG |  Dog, walls |  cats |  birds |  gates |  cars,0.7841726541519165,0.6402877569198608,0.9280575513839722
7,1.19690741003861,2.267111301422119,3.760364779736847e-05,25.8933700243632,25.772832162181537,1.5,1.5234375,1.4494974613189697,2.0,0.12255859375, dogs |  dog | DOG |  Dog |  door, walls |  cats |  birds |  pigs |  gates,0.6654676198959351,0.4100719392299652,0.9208633303642273
8,0.8606626118052427,8.356635953532532e-05,1.962049961090088,17.067760703650613,17.025503789881864,1.5234375,1.5078125,1.4494974613189697,2.015625,0.115234375, dogs |  dog | DOG |  door |  Dog, walls |  cats |  birds |  pigs |  cars,0.8021582961082458,0.6618704795837402,0.9424460530281067
9,1.1220421816716033,4.6080967877060175e-05,2.5547726154327393,21.45163596589118,21.39056673447291,1.53125,1.5078125,1.4494974613189697,2.015625,0.11279296875, dogs |  dog |  door | DOG |  Dog, walls |  cats |  birds |  pigs |  cars,0.8345323801040649,0.7266187071800232,0.9424460530281067
10,1.0346306969339547,1.2519733905792236,0.00042369106085971,15.692007630962568,15.649617315440748,1.5078125,1.5234375,1.4494974613189697,2.015625,0.11328125, dogs |  dog | DOG |  door |  Dog, walls |  cats |  birds |  pigs |  cars,0.7661870718002319,0.5899280309677124,0.9424460530281067
11,1.1847374199077885,0.5629203915596008,0.012476015836000443,20.786861475308736,20.76424785554409,1.515625,1.5234375,1.4494974613189697,2.015625,0.11279296875, dogs |  dog |  Dog |  door | DOG, walls |  cats |  birds |  pigs |  cars,0.7841726541519165,0.6187050342559814,0.9496402740478516
12,1.2474151211726645,0.4705255925655365,0.020117633044719696,20.969381758322317,20.950671579508345,1.515625,1.5234375,1.4494974613189697,2.03125,0.11181640625, dogs |  dog |  door | DOG |  Dog, walls |  cats |  birds |  pigs |  cars,0.7913669347763062,0.633093535900116,0.9496402740478516
13,1.280521187949238,6.392694194801152e-05,2.1509764194488525,25.783007988876975,25.781469039122264,1.53125,1.515625,1.4494974613189697,2.03125,0.10888671875, dogs |  dog |  door | DOG |  woman, walls |  cats |  birds |  pigs |  cars,0.8597122430801392,0.769784152507782,0.9496402740478516
14,1.4524320974950027,0.38264167308807373,0.032083626836538315,25.689389656484128,25.67141637901465,1.515625,1.5234375,1.4494974613189697,2.03125,0.10986328125, dogs |  dog | DOG |  Dog |  door, walls |  cats |  birds |  pigs |  dogs,0.7949640154838562,0.6402877569198608,0.9496402740478516
15,1.0764841345146585,0.3008768856525421,0.05042772367596626,20.191251210371654,20.17106630181273,1.515625,1.5234375,1.4494974613189697,2.03125,0.109375, dogs |  dog |  Dog |  door | DOG, walls |  cats |  birds |  pigs |  dogs,0.8021582961082458,0.6546762585639954,0.9496402740478516
16,0.791288790489672,3.451928569120355e-05,2.5011627674102783,16.555108330522973,16.502295515468965,1.5390625,1.515625,1.4494974613189697,2.046875,0.10498046875, dogs |  dog |  door | DOG |  woman, walls |  cats |  birds |  pigs |  cars,0.8776978254318237,0.8057553768157959,0.9496402740478516
