epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.503325589550271,0.3457435667514801,0.135349303483963,81.41827799479167,65.63076477050781,1.4765625,1.484375,1.4494974613189697,1.96875,0.1162109375, bird |  child |  birds |  dogs | 鸟, cats |  rooft |  walls |  eggs |  Cats,0.7517985701560974,0.6906474828720093,0.8129496574401855
2,1.2235573732551226,2.7618584632873535,0.0004881882050540298,32.82193222045898,32.38486938476562,1.4765625,1.5078125,1.4494974613189697,1.984375,0.11083984375, bird |  child |  dog | 鸟 |  woman, cats |  rooft |  eggs |  walls |  Cats,0.6079136729240417,0.28057554364204407,0.935251772403717
3,1.052091181269255,0.7566668391227722,0.00950387679040432,33.290156809488934,33.404679695765175,1.4921875,1.5078125,1.4494974613189697,2.015625,0.099609375, bird |  child |  dog |  woman |  dogs, cats |  eggs |  walls |  rooft |  ants,0.8597122430801392,0.769784152507782,0.9496402740478516
4,0.8584512036387423,0.0008021685061976314,1.7574104070663452,19.37682113647461,19.68674350976944,1.5078125,1.5,1.4494974613189697,2.015625,0.095703125, bird |  child |  dog |  woman |  dogs, cats |  rooft |  walls |  eggs |  Cats,0.8992805480957031,0.8776978254318237,0.9208633303642273
5,1.105122076200837,0.00032699035364203155,1.5708980560302734,23.21820831298828,22.997708930820227,1.5078125,1.5078125,1.4494974613189697,2.03125,0.08984375, bird |  child |  dog |  woman | (child, cats |  eggs |  walls |  rooft |  ants,0.9136690497398376,0.9424460530281067,0.8848921060562134
