epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.259251699658732,0.50436931848526,1.4314860105514526,93.46336126228174,75.19991677602133,1.125,1.109375,1.0794202089309692,1.453125,0.1533203125, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.5251798629760742,0.28776979446411133,0.7625899314880371
2,0.9007283505498587,0.0046903351321816444,1.3943902254104614,39.362691243489586,39.990029907226564,1.1328125,1.1171875,1.0794202089309692,1.46875,0.158203125, |  | _Tree |  [wugs] | /cat, dogs |  cats |  doors |  rats |  chickens,0.6294963955879211,0.43884891271591187,0.8201438784599304
3,0.6663942913912858,1.3575481176376343,0.011430446058511734,25.600605710347494,24.9991096496582,1.1328125,1.1328125,1.0794202089309692,1.4765625,0.1533203125, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.6258992552757263,0.38129496574401855,0.8705036044120789
4,0.889264106941846,1.0625782012939453,0.0019855229184031487,27.514752292633055,29.595101420084635,1.1328125,1.1328125,1.0794202089309692,1.4765625,0.154296875, |  | _Tree | /cat | ᠄, dogs |  cats |  doors |  rats |  chickens,0.5899280309677124,0.28057554364204407,0.8992805480957031
5,0.6362076711387696,0.0005228596273809671,1.4604555368423462,20.52008120218913,20.334875059127807,1.1484375,1.125,1.0794202089309692,1.484375,0.1513671875, |  | _Tree | /cat | ᠄, dogs |  cats |  doors |  rats |  chickens,0.7338129281997681,0.6258992552757263,0.8417266011238098
6,0.9958458667967837,1.3075370788574219,0.0007223062566481531,31.775118509928387,31.869008858998615,1.140625,1.140625,1.0794202089309692,1.484375,0.150390625, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.6043165326118469,0.30215826630592346,0.9064748287200928
7,0.38209923510582183,1.9070416688919067,0.000275993108516559,13.695508138338726,13.503206125895183,1.140625,1.140625,1.0794202089309692,1.4921875,0.1474609375, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.597122311592102,0.28776979446411133,0.9064748287200928
8,1.179328993699202,0.0008185458718799055,1.1602203845977783,32.164926592508955,32.219489297270776,1.15625,1.1328125,1.0794202089309692,1.4921875,0.1455078125, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.7589927911758423,0.6474820375442505,0.8705036044120789
9,0.8550017310102551,1.8039302825927734,0.0001837657327996567,31.923177846272786,31.99024742046992,1.140625,1.1484375,1.0794202089309692,1.5,0.142578125, |  | _Tree | ᠄ | /cat, dogs |  cats |  rats |  doors |  chickens,0.6258992552757263,0.3381294906139374,0.9136690497398376
10,0.7958040624338082,0.006173561792820692,0.707635760307312,19.593345387776694,19.569978233178457,1.15625,1.140625,1.0794202089309692,1.5,0.140625, |  | _Tree | ᠄ | /cat, dogs |  cats |  doors |  rats |  chickens,0.7589927911758423,0.6258992552757263,0.8920863270759583
11,0.6794021416141125,1.7524853944778442,0.0001839401083998382,19.425843493143717,19.341917876402537,1.1484375,1.1484375,1.0794202089309692,1.5078125,0.1376953125, |  | _Tree | ᠄ | /cat, dogs |  cats |  rats |  doors |  chickens,0.6726618409156799,0.41726619005203247,0.9280575513839722
12,0.8680824746962268,1.7524969577789307,0.00015298533253371716,24.481890455881754,24.43913942972819,1.1484375,1.15625,1.0794202089309692,1.5078125,0.13671875, |  | _Tree | ᠄ | /cat, dogs |  cats |  rats |  doors |  chickens,0.6690647602081299,0.4100719392299652,0.9280575513839722
13,0.2860706441110627,0.0001829869142966345,1.5023295879364014,6.794578123092651,6.743432998657227,1.15625,1.140625,1.0794202089309692,1.515625,0.1357421875, |  | _Tree | /cat | ᠄, dogs |  cats |  doors |  rats |  chickens,0.7769784331321716,0.6762589812278748,0.8776978254318237
