epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.243639490008354,2.2889654636383057,0.6028115153312683,81.56011288960775,82.5251846164465,1.09375,1.1015625,1.0794202089309692,1.4609375,0.12060546875, trees |  ponds | (tree |  cars |  cats, |  | 윾 | 옼 | ꂫ,0.8991596698760986,0.9831932783126831,0.8151260614395142
2,1.0664091458078473,0.7072101831436157,0.057690609246492386,55.50465494791667,36.58940887451172,1.1015625,1.1171875,1.0794202089309692,1.4609375,0.1298828125, trees | (tree |  ponds |  cars |  cats, |  | 옼 | 윾 | ꂫ,0.9537814855575562,0.9579831957817078,0.9495798349380493
3,0.6584662960148611,0.013942644000053406,1.0467714071273804,46.268967692057295,38.71385689576467,1.109375,1.1171875,1.0794202089309692,1.46875,0.130859375, trees | (tree |  ponds |  cats |  cars, |  | 옼 | 윾 | ꂫ,0.9327731132507324,0.9915966391563416,0.8739495873451233
4,0.5982325820970193,0.2796829342842102,0.08340594917535782,35.17305399576823,33.2396209081014,1.109375,1.1171875,1.0794202089309692,1.46875,0.1328125, trees | (tree |  ponds |  cars |  cats, |  | 윾 | 옼 | ꂫ,0.9579831957817078,0.9579831957817078,0.9579831957817078
