epoch,wug_proj,wugs_proj,dist
1,0.026184072718024254,0.05231572315096855,0.026131650432944298
2,0.021459126845002174,0.05710521340370178,0.03564608842134476
3,0.016941843554377556,0.06147322058677673,0.04453137516975403
4,0.012213636189699173,0.06589703261852264,0.05368339642882347
5,0.008137701079249382,0.06899581104516983,0.0608581081032753
6,0.004152599722146988,0.0728662759065628,0.06871367990970612
7,0.0006754640489816666,0.07595937699079514,0.07528391480445862
8,-0.0024194810539484024,0.07944105565547943,0.08186053484678268
9,-0.005220081657171249,0.08225233852863312,0.08747242391109467
10,-0.007415248081088066,0.08446520566940308,0.09188045561313629
11,-0.009799830615520477,0.08692645281553268,0.09672628343105316
