epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.14882388478145,0.38039711117744446,1.139998197555542,79.29020659128825,70.14618571599324,1.46875,1.46875,1.4494974613189697,1.96875,0.1025390625,Door |  Door |  door | _door |  house, cars |  chairs |  kids |  birds |  persons,0.6438848972320557,0.43884891271591187,0.8489208817481995
2,0.6782701979197251,0.024239543825387955,0.8112449645996094,34.79593175252278,28.258293660481772,1.484375,1.4765625,1.4494974613189697,1.984375,0.1025390625,Door |  Door |  door | _door |  house, cars |  chairs |  kids |  birds |  cats,0.7194244861602783,0.5539568066596985,0.8848921060562134
3,1.0223978792819253,1.3763211965560913,0.0018298645736649632,29.02777423777928,28.15732587178548,1.4765625,1.484375,1.4494974613189697,1.984375,0.1005859375,Door |  Door |  door | _door |  house, cars |  kids |  chairs |  birds |  cats,0.6582733988761902,0.4100719392299652,0.9064748287200928
4,0.7241491000660365,0.5667822360992432,0.019913090392947197,23.77212685352812,23.663262939453126,1.484375,1.484375,1.4494974613189697,2.0,0.09521484375,Door |  door |  Door | _door |  house, cars |  kids |  chairs |  birds |  cats,0.798561155796051,0.6834532618522644,0.9136690497398376
5,0.9333075835866718,0.0031617204658687115,1.0626144409179688,27.301811050375303,27.50620880126953,1.4921875,1.484375,1.4494974613189697,2.0,0.09375,Door |  door |  Door | _door |  house, cars |  chairs |  kids |  birds |  cats,0.8884891867637634,0.8489208817481995,0.9280575513839722
