epoch,wug_proj,wugs_proj,dist
1,-0.015489982441067696,0.15786845982074738,0.17335844039916992
2,-0.024807261303067207,0.17054800689220428,0.19535526633262634
3,-0.030738288536667824,0.172015979886055,0.20275427401065826
4,-0.03827871009707451,0.1811932623386383,0.2194719761610031
5,-0.040408045053482056,0.18237915635108948,0.22278720140457153
6,-0.04437249153852463,0.1855604648590088,0.229932963848114
7,-0.04719925671815872,0.187674880027771,0.23487412929534912
8,-0.04778677970170975,0.18817642331123352,0.23596319556236267
9,-0.04788385331630707,0.18836919963359833,0.2362530529499054
10,-0.04846004769206047,0.1890684962272644,0.23752854764461517
11,-0.05139382183551788,0.19152230024337769,0.24291612207889557
