epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,19.281349182128906,1.192092824453539e-08,63.32609863349547,75.5255219673117,1.078125,1.078125,1.0794202089309692,1.890625,-0.53125,鼍 | _NC | STONE |  chicken | נחש,两只 |  deux |  cats |  two | _two,0.6302521228790283,0.26050421595573425,1.0
2,,3.5571258068084717,0.017010783776640892,43.26569012695427,45.111279805501304,1.078125,1.078125,1.0794202089309692,1.9765625,-0.6796875, creature | 🐲 |  dragon |  lizard | creature,两只 | 两位 |  two |  deux |  Two,0.668067216873169,0.6890756487846375,0.6470588445663452
3,,0.0634026974439621,1.357829213142395,51.7706381699536,47.14017826778969,1.078125,1.0859375,1.0794202089309692,2.09375,-0.86328125, dragon | 🐉 | 🐲 |  lizard |  creature, two |  Two | 两位 | 两只 |  deux,0.7815126180648804,0.9327731132507324,0.6302521228790283
