epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,11.88244825998942,6.98180627822876,13.29588794708252,77.78015871047974,79.1424670100833,1.453125,1.453125,1.4494974613189697,1.921875,0.11962890625, chair |  chairs | -chair |  Chair |  gates, dogs | 貓 |  fortress |  doors |  ducks,0.49280574917793274,0.9280575513839722,0.057553958147764206
2,8.957980730136235,4.609029293060303,10.491024017333984,78.96411946614583,80.16912344545126,1.453125,1.453125,1.4494974613189697,1.921875,0.125, chair |  chairs | -chair |  Chair |  fences, dogs | 貓 |  ducks |  fortress |  doors,0.5035971403121948,0.9568345546722412,0.050359711050987244
3,6.689445331692696,3.2715489864349365,8.01280403137207,75.23332214355469,77.83964779376984,1.4609375,1.453125,1.4494974613189697,1.921875,0.12890625, chair |  chairs | -chair |  Chair |  puppy, dogs |  ducks | 貓 |  cats |  birds,0.5143885016441345,0.9568345546722412,0.07194244861602783
4,4.981954485177994,2.0710558891296387,6.061053276062012,77.78176676432291,82.37961413065592,1.4609375,1.4609375,1.4494974613189697,1.921875,0.1328125, chair | -chair |  chairs |  Chair |  puppy, dogs |  ducks |  [wug] |  cats |  birds,0.5,0.9424460530281067,0.057553958147764206
5,3.611345415562391,1.334215760231018,4.347314834594727,75.03252766927083,81.71303965250651,1.46875,1.4609375,1.4494974613189697,1.921875,0.1357421875, chair | -chair |  chairs |  Chair |  puppy, dogs |  [wug] |  cats |  ducks |  birds,0.5107913613319397,0.9208633303642273,0.10071942210197449
6,2.495821426808834,0.8117350339889526,3.001966714859009,67.721435546875,75.56944173177084,1.46875,1.46875,1.4494974613189697,1.9296875,0.138671875, chair | -chair |  chairs |  Chair |  puppy, dogs |  [wug] |  cats |  ducks |  birds,0.5251798629760742,0.8705036044120789,0.17985612154006958
7,1.6695918277837336,0.7781699895858765,1.8831292390823364,50.73513997395833,60.504451497395834,1.4765625,1.46875,1.4494974613189697,1.9296875,0.140625, chair | -chair |  chairs |  puppy |  Chair, dogs |  [wug] |  cats |  ducks |  birds,0.564748227596283,0.8057553768157959,0.32374101877212524
8,1.187860331699873,0.4148466885089874,1.2651537656784058,46.34423828125,58.16014811197917,1.4765625,1.46875,1.4494974613189697,1.9296875,0.142578125, chair | -chair |  puppy |  chairs |  [wugs], dogs |  [wug] |  cats |  birds |  ducks,0.5899280309677124,0.7410072088241577,0.43884891271591187
9,0.8192248295720977,0.4108923077583313,0.842190682888031,37.65769856770833,49.47132975260417,1.4765625,1.4765625,1.4494974613189697,1.9296875,0.1435546875, chair | -chair |  puppy |  chairs |  [wugs], dogs |  [wug] |  cats |  birds |  ducks,0.6187050342559814,0.6474820375442505,0.5899280309677124
10,0.5977905916826178,0.15668268501758575,0.7859795093536377,29.8221923828125,40.471337890625,1.484375,1.4765625,1.4494974613189697,1.9296875,0.1435546875, chair | -chair |  puppy |  [wugs] |  chairs, dogs |  [wug] |  cats |  birds |  ducks,0.6582733988761902,0.6906474828720093,0.6258992552757263
11,0.4947829943227892,0.22240155935287476,0.4568590521812439,28.059480794270833,38.14586588541667,1.484375,1.4765625,1.4494974613189697,1.9375,0.14453125, chair | -chair |  puppy |  [wugs] |  chairs, dogs |  [wug] |  cats |  birds |  ducks,0.633093535900116,0.5323740839958191,0.7338129281997681
12,0.3593286375709189,0.11604701727628708,0.4533723294734955,23.222442626953125,32.040592447916666,1.484375,1.4765625,1.4494974613189697,1.9375,0.1455078125, chair | -chair |  puppy |  [wugs] |  chairs, dogs |  [wug] |  cats |  birds |  ducks,0.6618704795837402,0.5323740839958191,0.7913669347763062
13,0.29749661078482553,0.3529554009437561,0.1532047688961029,22.00508015950521,28.415071614583333,1.484375,1.4765625,1.4494974613189697,1.9375,0.1455078125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  [wug] |  cats |  birds |  ducks,0.6510791182518005,0.4460431635379791,0.8561151027679443
14,0.253179725278945,0.07455263286828995,0.39125004410743713,20.394523111979165,23.715397135416666,1.484375,1.4765625,1.4494974613189697,1.9375,0.146484375, chair |  puppy | -chair |  [wugs] |  chairs, dogs |  [wug] |  cats |  birds |  ducks,0.6726618409156799,0.5179855823516846,0.8273381590843201
15,0.2849825054057874,0.19377698004245758,0.16632579267024994,23.882697296142577,26.593603515625,1.484375,1.4765625,1.4494974613189697,1.9375,0.146484375, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  [wug] |  cats |  birds |  ducks,0.6618704795837402,0.4532374143600464,0.8705036044120789
16,0.22323988767069144,0.07977122813463211,0.3160875737667084,19.54149932861328,21.025130208333334,1.4921875,1.4765625,1.4494974613189697,1.9375,0.1455078125, chair | -chair |  puppy |  [wugs] |  chairs, dogs |  [wug] |  cats |  birds |  ducks,0.6762589812278748,0.4892086386680603,0.8633093237876892
17,0.21179179809017418,0.36992305517196655,0.06723091751337051,18.96951700846354,20.522786458333332,1.484375,1.4765625,1.4494974613189697,1.9375,0.1455078125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  [wug] |  cats |  birds |  ducks,0.6582733988761902,0.41726619005203247,0.8992805480957031
18,0.2445413234255587,0.2134436070919037,0.1203986182808876,18.46793009440104,19.783430989583334,1.484375,1.4765625,1.4494974613189697,1.9375,0.1455078125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.6834532618522644,0.4676258862018585,0.8992805480957031
19,0.20800259383007264,0.0732794925570488,0.2960951030254364,17.99307657877604,18.56328125,1.4921875,1.4765625,1.4494974613189697,1.9375,0.14453125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7158273458480835,0.5539568066596985,0.8776978254318237
20,0.24044237792647133,0.21051162481307983,0.1137545257806778,20.1920654296875,21.163916015625,1.484375,1.484375,1.4494974613189697,1.9375,0.14453125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.6870503425598145,0.48201438784599304,0.8920863270759583
21,0.23350247640434343,0.2083578109741211,0.1128324493765831,21.227591959635415,21.868570963541668,1.484375,1.484375,1.4494974613189697,1.9375,0.14453125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.6942446231842041,0.49640288949012756,0.8920863270759583
22,0.20939925153700945,0.14978528022766113,0.15597416460514069,18.42988306681315,19.072477213541667,1.4921875,1.484375,1.4494974613189697,1.9453125,0.1435546875, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7230215668678284,0.5539568066596985,0.8920863270759583
23,0.25112319539281697,0.14915290474891663,0.15378382802009583,21.31815134684245,21.804305013020834,1.4921875,1.484375,1.4494974613189697,1.9453125,0.1435546875, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7194244861602783,0.5395683646202087,0.8992805480957031
